series_code,series_name,variant,n_obs,var_omega,acf1,acf2,window,lags,no_model_share,mean_cond,median_cond,sign_stability_x,sign_stability_lag1,mean_r2
17,Производство бумаги и бумажных,adj_smoothed,156.0,4.027549182066157e-05,0.9990707276004149,0.9967728466244924,24,3,0.0,97.22465037980491,81.97086464890275,1.0,1.0,0.9433037662235391
17,Производство бумаги и бумажных,adj_unsmoothed,156.0,0.0003215673586985997,0.9930097638168522,0.9892301963009282,24,3,0.0,4.641652021517779,3.875412182486253,0.9774436090225563,0.5338345864661654,0.3084958694533249
17,Производство бумаги и бумажных,raw,156.0,0.003484754245010681,0.9304529242428747,0.8925886004840455,24,3,0.0,1.9272584733558287,1.816824870860727,1.0,0.9624060150375939,0.4372430988896786
18,Деятельность полиграфическая и,adj_smoothed,156.0,0.0003316178447224137,0.9899124240808769,0.9636773533381985,24,3,0.0,60.98601758994512,53.1905791669515,1.0,1.0,0.9329261371698084
18,Деятельность полиграфическая и,adj_unsmoothed,156.0,0.004300903285290357,0.8717433382997499,0.8578044267264885,24,3,0.0,2.8165902594397023,2.498411308593753,1.0,0.631578947368421,0.4191927579175584
18,Деятельность полиграфическая и,raw,156.0,0.017673227806077798,0.6556510273270723,0.5445084506906377,24,3,0.0,1.7659333593621416,1.640522208744484,1.0,0.7142857142857143,0.4917573457047071
19,Производство кокса и нефтепроду,adj_smoothed,156.0,8.042481352979324e-05,0.9725678043413143,0.9032569915770481,24,3,0.0,61.970087563901345,53.36239854007265,1.0,1.0,0.9604802452304144
19,Производство кокса и нефтепроду,adj_unsmoothed,156.0,0.0005010704964037356,0.8504257342388426,0.7234633701250159,24,3,0.0,3.1236394035956847,2.866369702374471,0.9924812030075187,0.6842105263157895,0.37728155645341904
19,Производство кокса и нефтепроду,raw,156.0,0.003436765253313936,0.4673757661390633,0.28887021568331134,24,3,0.0,1.7273041939834202,1.6481755430456695,1.0,0.8421052631578947,0.4839563329163031
20,Производство химических продукт,adj_smoothed,156.0,5.2168635360774876e-05,0.9982601625688816,0.9936917951652674,24,3,0.0,85.75220869500164,80.82202616829916,1.0,1.0,0.941255228476864
20,Производство химических продукт,adj_unsmoothed,156.0,0.0004231171165387485,0.9871128236851258,0.9806753733753529,24,3,0.0,4.1584352555586825,4.232267184043357,0.9774436090225563,0.6240601503759399,0.3715239625794682
20,Производство химических продукт,raw,156.0,0.0021883279699900383,0.9380131552239904,0.9320695325305548,24,3,0.0,1.9689018020413198,1.9217837593364246,1.0,0.8270676691729323,0.4031331631619185
21,Производство лекарственных сред,adj_smoothed,156.0,0.001481064915483635,0.9956628975978717,0.9845124657440495,24,3,0.0,56.747940373599505,56.88963473687051,1.0,1.0,0.9419220975235018
21,Производство лекарственных сред,adj_unsmoothed,156.0,0.014773599892749565,0.9633504888591289,0.9451960791864833,24,3,0.0,2.8352424963559844,2.721600108462539,1.0,0.556390977443609,0.3775399767937029
21,Производство лекарственных сред,raw,156.0,0.036420954612532135,0.8993762465661006,0.8691149881862891,24,3,0.0,1.9386815868190717,1.8985043328025817,1.0,0.5488721804511278,0.45387219729249734
22.1,Производство резиновых издели,adj_smoothed,156.0,0.0006887121727037639,0.9771633119139208,0.9163854272753647,24,3,0.0,66.56317451499928,55.90558256015205,1.0,1.0,0.9490952683372834
22.1,Производство резиновых издели,adj_unsmoothed,156.0,0.006408350851047331,0.8054033799385767,0.7217629669181129,24,3,0.0,3.0734832182296867,2.629290555916318,1.0,0.5789473684210527,0.4841174676785388
22.1,Производство резиновых издели,raw,156.0,0.021735849995139545,0.615309042688467,0.4314936821500271,24,3,0.0,2.2161467795931333,2.0105807638084685,1.0,0.6015037593984962,0.4734644063784839
22.2,Производство изделий из пласт,adj_smoothed,156.0,0.0001103573667339236,0.9986716655523522,0.9952899708947955,24,3,0.0,79.00593288310743,74.43980719023972,1.0,1.0,0.9545659826479022
22.2,Производство изделий из пласт,adj_unsmoothed,156.0,0.0007484141185188444,0.9921304198249884,0.9865853070880259,24,3,0.0,4.636427194731507,2.7458002202506626,0.8270676691729323,0.6240601503759399,0.35165213575689497
22.2,Производство изделий из пласт,raw,156.0,0.008381382571026368,0.9326593208084704,0.8555608635233103,24,3,0.0,3.9045778216936156,3.708364044408632,0.9323308270676691,0.7593984962406015,0.36732497002749087
23,Производство прочей неметалличе,adj_smoothed,156.0,0.00013549463819989335,0.9961233757665023,0.985823501992901,24,3,0.0,95.09489596244428,75.17209908202882,1.0,1.0,0.9626802120313279
23,Производство прочей неметалличе,adj_unsmoothed,156.0,0.0007049585570561725,0.9805205753214258,0.9661063609595001,24,3,0.0,5.25396594162634,3.6476359103430136,0.7669172932330827,0.5939849624060151,0.3245516113878161
23,Производство прочей неметалличе,raw,156.0,0.027389068536112737,0.869084540466654,0.5771775590632208,24,3,0.0,10.395794030262776,10.474989260836702,0.706766917293233,0.6616541353383458,0.711262631878291
24,Производство металлургическое,adj_smoothed,156.0,0.00016315055169702192,0.9855692230048272,0.95881622294974,24,3,0.0,59.85476889194262,52.733487475503026,1.0,1.0,0.9516767806691009
24,Производство металлургическое,adj_unsmoothed,156.0,0.0010026883051550454,0.9179401235343012,0.8868149603036822,24,3,0.0,2.9592835637483423,2.5363378071226887,1.0,0.5639097744360902,0.4245944737544167
24,Производство металлургическое,raw,156.0,0.006133996410291591,0.7168965884560226,0.5638209423127233,24,3,0.0,2.4590566962959777,2.4131482992767874,1.0,0.6390977443609023,0.3978619342087175
25,Производство готовых металличес,adj_smoothed,156.0,0.0010139754801429212,0.9967485006975376,0.9883710202898112,24,3,0.0,66.45623389783766,62.101843290209324,1.0,1.0,0.9510896355887403
25,Производство готовых металличес,adj_unsmoothed,156.0,0.007816577310499543,0.9706000648877282,0.9581987008762968,24,3,0.0,2.8028738368125974,2.8197116020055804,0.9699248120300752,0.5488721804511278,0.3906210454136757
25,Производство готовых металличес,raw,156.0,0.03379040547516588,0.8122466968863462,0.7813730398756084,24,3,0.0,1.7069000506078762,1.5757237939828443,1.0,0.6090225563909775,0.49766196420967723
26,"Производство компьютеров, элект",adj_smoothed,156.0,0.0008924299179444489,0.9973177353638489,0.992619631832596,24,3,0.0,73.82249238129934,55.739133924044275,1.0,1.0,0.925943853841271
26,"Производство компьютеров, элект",adj_unsmoothed,156.0,0.015260523599578005,0.966060430320299,0.9607325207398005,24,3,0.0,2.8501293715371974,2.1148977062554097,1.0,0.6992481203007519,0.4532848068199073
26,"Производство компьютеров, элект",raw,156.0,0.06924170933466789,0.7868620360241818,0.7066593300633158,24,3,0.0,2.0758002459459055,1.9961417884154897,0.9924812030075187,0.706766917293233,0.4328273840823426
27,Производство электрического обо,adj_smoothed,156.0,0.0005020761870557876,0.9760120191962601,0.9138131141449202,24,3,0.0,50.03328546590708,42.366610361931095,1.0,1.0,0.9506051246853974
27,Производство электрического обо,adj_unsmoothed,156.0,0.0057514340288451005,0.7768531661962882,0.7285233846971639,24,3,0.0,2.3859571356392384,1.764556552794169,1.0,0.5338345864661654,0.4274487969906586
