start,end,no_model,cond,B_X_n,B_Lag_1,Beta_X_n,Beta_Lag_1,R2,series_code,series_name,variant,window,lags
55,79,False,74.70577471252228,0.01192992197657063,-0.02268499294902144,3.4891914933232755,-7.8815369099684105,0.9516082306947987,25,Производство готовых металличес,adj_smoothed,24,3
56,80,False,65.4640873150667,0.012207773168076214,-0.02306390749181437,3.323043147964537,-6.758380429131908,0.9486096918363732,25,Производство готовых металличес,adj_smoothed,24,3
57,81,False,58.46111904576042,0.01284205904697839,-0.024387047106993312,3.5228977861313933,-6.387923068247291,0.9540469335725288,25,Производство готовых металличес,adj_smoothed,24,3
58,82,False,56.17729357958492,0.013431774125697859,-0.025270137471488725,4.141430011526562,-7.015109629122748,0.9468353592529207,25,Производство готовых металличес,adj_smoothed,24,3
59,83,False,57.698713919368124,0.01442538807655274,-0.027481656265732915,4.979152294934167,-8.678396748278406,0.9399280220768955,25,Производство готовых металличес,adj_smoothed,24,3
60,84,False,60.48271120292691,0.013397419451132403,-0.024974175888835812,4.834010913733869,-8.572778672016362,0.9366376588137335,25,Производство готовых металличес,adj_smoothed,24,3
61,85,False,68.5434821539969,0.013533647000229397,-0.02540459357472683,4.878308484904202,-8.96103273679553,0.9220360426482391,25,Производство готовых металличес,adj_smoothed,24,3
62,86,False,60.36571064890304,0.014962415912572729,-0.028888992092352423,4.966598302369634,-9.573292844017553,0.9391457770927173,25,Производство готовых металличес,adj_smoothed,24,3
63,87,False,55.85489159364059,0.01416670697809035,-0.02688173849887737,4.059494540363858,-7.875262290844279,0.9608168502301538,25,Производство готовых металличес,adj_smoothed,24,3
64,88,False,57.68279922389958,0.013205408850991321,-0.024931319615092346,3.5460115226665962,-6.915580995523001,0.9547519470960267,25,Производство готовых металличес,adj_smoothed,24,3
65,89,False,52.84262793551922,0.014372174898042697,-0.02774233333091071,3.669693275299447,-7.316938587588658,0.9418850914467594,25,Производство готовых металличес,adj_smoothed,24,3
66,90,False,50.205569126550465,0.015839161054152,-0.03149073873751267,3.1116461827130237,-6.590868300131075,0.9606614768705598,25,Производство готовых металличес,adj_smoothed,24,3
67,91,False,46.59891051790894,0.015121395008293521,-0.03092532106952143,2.4392715752664382,-5.186327234703359,0.9711527440910707,25,Производство готовых металличес,adj_smoothed,24,3
68,92,False,40.645439898890366,0.015241274872137743,-0.030717934558834172,2.8095287100481388,-4.813376409450754,0.9730140966168794,25,Производство готовых металличес,adj_smoothed,24,3
69,93,False,42.21064373771265,0.015522738042390682,-0.03050021731160533,3.6692882559774533,-5.661241967680988,0.9542665826907238,25,Производство готовых металличес,adj_smoothed,24,3
70,94,False,45.48872704925636,0.017267644304315294,-0.03506367360821662,4.802810114283572,-8.234504445520212,0.9518889873015656,25,Производство готовых металличес,adj_smoothed,24,3
71,95,False,50.86925052537519,0.015956936535922825,-0.032110223670924185,4.934515775112299,-8.968559877266394,0.9500352573740142,25,Производство готовых металличес,adj_smoothed,24,3
72,96,False,59.744908262248416,0.01579228656457271,-0.03222697057047481,5.332779457078921,-10.222368749415555,0.9456454890897068,25,Производство готовых металличес,adj_smoothed,24,3
73,97,False,57.638442483664164,0.015082902121328082,-0.030243828946878208,5.31852889078936,-10.378142964687228,0.9419972520257296,25,Производство готовых металличес,adj_smoothed,24,3
74,98,False,56.78690691750184,0.014353525198747663,-0.028115965993115402,4.984563821467704,-9.861124602622386,0.9325992697288411,25,Производство готовых металличес,adj_smoothed,24,3
75,99,False,57.68342833251881,0.014352309246169048,-0.027978760906284574,4.868266377013265,-9.77717836708899,0.9276433476457501,25,Производство готовых металличес,adj_smoothed,24,3
76,100,False,56.591521428738176,0.01435949486603215,-0.027988974074770957,4.8573217855068505,-9.660767060068993,0.9251195257867912,25,Производство готовых металличес,adj_smoothed,24,3
77,101,False,55.37168696548268,0.014377471834803972,-0.027897188051613717,4.903962731147379,-9.440851039136305,0.924518763759644,25,Производство готовых металличес,adj_smoothed,24,3
78,102,False,55.552768403192715,0.014482620175679788,-0.028034744012702895,5.060699709959076,-9.434475918117819,0.9259420013891788,25,Производство готовых металличес,adj_smoothed,24,3
79,103,False,56.945443643187104,0.014522671444312405,-0.028065331185903902,5.3463828495268455,-9.694359733830453,0.9278157751595699,25,Производство готовых металличес,adj_smoothed,24,3
80,104,False,61.16979220146696,0.014681549867156552,-0.02861809383211708,5.854788841218644,-10.511843605290883,0.9311847427895941,25,Производство готовых металличес,adj_smoothed,24,3
81,105,False,66.32161348003261,0.014668844330755592,-0.028792300369066576,6.477664341810479,-11.665710048053167,0.9401437103537261,25,Производство готовых металличес,adj_smoothed,24,3
82,106,False,74.63307277967101,0.014017510894376148,-0.027343096658439058,6.9970538176323505,-12.71338646905302,0.9438220459028974,25,Производство готовых металличес,adj_smoothed,24,3
83,107,False,86.46230930794164,0.012781689414040264,-0.024663501296127516,7.253975927492462,-13.506846077454323,0.946162631014914,25,Производство готовых металличес,adj_smoothed,24,3
84,108,False,98.55203195730577,0.011932877324656012,-0.022926174694840082,6.949556808455854,-13.624018443407229,0.9432075051589631,25,Производство готовых металличес,adj_smoothed,24,3
85,109,False,99.4302598421453,0.012067478229411621,-0.022982151001126695,6.334445542580152,-13.130245055014417,0.9455462816003599,25,Производство готовых металличес,adj_smoothed,24,3
86,110,False,97.47493053087054,0.011169963667164402,-0.020217629721745546,5.926480268592204,-12.122781695391765,0.9627363118380438,25,Производство готовых металличес,adj_smoothed,24,3
