model,case,regime,method,windows,support_size,true_lag_count,false_lag_count,hit_rate,false_lag_rate,no_model_share,coef_mae,coef_mae_true,false_coef_l1,sign_correct_share,validation_r2,validation_mae
delay,delay_g_1_25,усиленный цикл,lasso,52,1.0,1.0,0.0,1.0,0.0,0.0,0.0010094161137203358,0.008911630197002269,0.0021919470539214256,1.0,0.5323655962246346,0.005099261097073236
delay,delay_g_1_25,усиленный цикл,ridge,52,6.846153846153846,1.0,5.846153846153846,1.0,0.7885760073260073,0.0,0.12298809428460963,0.31666133673829544,1.0362077003924104,1.0,0.7992227534135992,0.08103486198664975
delay,delay_g_1_25,усиленный цикл,stepwise,52,1.0,1.0,0.0,1.0,0.0,0.0,2.950243002500416e-17,3.2452673027504574e-16,0.0,1.0,1.0,3.461711586453766e-16
mixed,mixed_q_1_5_gamma_0_5,"смешанная память, умеренный режим",elastic_net,8,7.5,2.0,5.5,1.0,0.5757575757575758,0.0,0.14015490393887292,0.6169023415598747,0.30789926020785263,1.0,0.9998130960838997,7.105982902899427e-06
mixed,mixed_q_1_5_gamma_0_5,"смешанная память, умеренный режим",enter,8,5.0,2.0,3.0,1.0,0.5354166666666667,0.0,0.19912329882648983,0.7744848915076057,0.6413865040761768,0.75,0.9999922525731106,6.375432425622581e-07
mixed,mixed_q_1_5_gamma_0_5,"смешанная память, умеренный режим",lasso,8,2.375,2.0,0.375,1.0,0.125,0.0,0.006988253167197029,0.028054930335667527,0.02076092416783226,1.0,0.9998543905495498,6.409662979428608e-06
mixed,mixed_q_1_5_gamma_0_5,"смешанная память, умеренный режим",ridge,8,8.875,2.0,6.875,1.0,0.6921266233766235,0.0,0.17243780247248655,0.7605915085259023,0.3756328101455473,1.0,0.9991003679224085,5.80334729931886e-06
mixed,mixed_q_1_5_gamma_0_5,"смешанная память, умеренный режим",stepwise,8,2.75,1.5,1.25,0.75,0.25,0.0,0.08219798445988366,0.281250000000165,0.3416778290583903,0.75,0.9999998671034414,8.081700239818138e-09
mixed,mixed_q_2_8_gamma_0_5,"смешанная память, цикл",elastic_net,52,5.538461538461538,1.1538461538461537,4.384615384615385,0.5769230769230769,0.7173076923076922,0.0,0.46800880856933197,1.5927230643714543,1.9626507655197432,0.5769230769230769,0.9994303140429821,0.004923440949237106
mixed,mixed_q_2_8_gamma_0_5,"смешанная память, цикл",enter,52,7.769230769230769,2.0,5.769230769230769,1.0,0.661473248973249,0.0,0.45783360151155983,0.5743757729532549,3.8874180707206487,1.0,0.9227810296426723,0.013753929775886105
mixed,mixed_q_2_8_gamma_0_5,"смешанная память, цикл",lasso,52,2.173076923076923,1.1538461538461537,1.0192307692307692,0.5769230769230769,0.4641025641025641,0.0,0.34014298314565955,1.2503096260386348,1.240953562524985,0.5769230769230769,0.9970198073684629,0.006097807175047574
mixed,mixed_q_2_8_gamma_0_5,"смешанная память, цикл",ridge,52,7.596153846153846,1.3653846153846154,6.230769230769231,0.6826923076923077,0.821833028083028,0.0,0.5157045500181583,1.5632893784912762,2.5461712932171894,1.0,0.9876113464753259,0.007841218539790461
mixed,mixed_q_2_8_gamma_0_5,"смешанная память, цикл",stepwise,52,2.019230769230769,1.7307692307692308,0.28846153846153844,0.8653846153846154,0.1346153846153846,0.0,0.10250268267480124,0.28269230769230846,0.5621448940381966,0.8653846153846154,0.9999567249117807,0.00046524619467608504
