model,case,regime,stage,start,end,method,active_threshold,validation_r2,validation_mae,alpha,l1_ratio,support_size,true_lag_count,false_lag_count,hit_rate,false_lag_rate,no_model,coef_mae,coef_mae_true,false_coef_l1,sign_correct_share,support_intersection
base,base_a_2_2,затухающие колебания,early,18,43,lasso,0.05,0.9997678375872199,0.006560421864187112,0.013894954943731374,,1.0,1.0,0.0,1.0,0.0,0.0,0.002778990988746317,0.030568900876209337,1.498801083614125e-16,1.0,1.0
base,base_a_2_2,затухающие колебания,early,18,43,elastic_net,0.05,0.9999828375500721,0.0017837020652585744,0.013894954943731374,0.2,11.0,1.0,10.0,1.0,0.9090909090909091,0.0,0.3635290533088697,2.003565324259572,1.9952542621379952,1.0,1.0
base,base_a_2_2,затухающие колебания,early,21,46,enter,0.05,0.999858770988204,0.004990916450628158,,,7.0,1.0,6.0,1.0,0.8571428571428571,0.0,0.3702476848255504,1.8891174316406252,2.1836071014404297,1.0,1.0
base,base_a_2_2,затухающие колебания,early,21,46,stepwise,0.05,1.0,3.1456319031046104e-16,,,1.0,1.0,0.0,1.0,0.0,0.0,8.074349270001139e-17,8.881784197001252e-16,0.0,1.0,1.0
base,base_a_2_2,затухающие колебания,early,21,46,ridge,0.05,0.9999999999184181,3.888776101061235e-06,0.001,,11.0,1.0,10.0,1.0,0.9090909090909091,0.0,0.36363501719051694,2.0000016528118407,1.9999835362838456,1.0,1.0
base,base_a_2_2,затухающие колебания,early,21,46,lasso,0.05,0.9997678375871457,0.006560421865041595,0.013894954943731374,,1.0,1.0,0.0,1.0,0.0,0.0,0.0027789909887463164,0.030568900876209337,1.4432899321565743e-16,1.0,1.0
base,base_a_2_2,затухающие колебания,early,21,46,elastic_net,0.05,0.9999828340539002,0.0017838964552575238,0.013894954943731374,0.2,11.0,1.0,10.0,1.0,0.9090909090909091,0.0,0.36352894727443225,2.0035653246074157,1.9952530954113383,1.0,1.0
base,base_a_2_2,затухающие колебания,early,24,49,enter,0.05,0.9999999999999996,8.455887730759079e-09,,,9.0,1.0,8.0,1.0,0.8888888888888888,0.0,0.37367847612000665,1.9684884947957473,2.141974742524326,1.0,1.0
base,base_a_2_2,затухающие колебания,early,24,49,stepwise,0.05,1.0,1.1842378929335002e-15,,,1.0,1.0,0.0,1.0,0.0,0.0,8.074349270001139e-17,8.881784197001252e-16,0.0,1.0,1.0
base,base_a_2_2,затухающие колебания,early,24,49,ridge,0.05,0.9999999999179041,3.901130420517577e-06,0.001,,11.0,1.0,10.0,1.0,0.9090909090909091,0.0,0.3636350117426088,2.000001652878285,1.9999834762904125,1.0,1.0
base,base_a_2_2,затухающие колебания,early,24,49,lasso,0.05,0.999767837587147,0.006560421865026885,0.013894954943731374,,1.0,1.0,0.0,1.0,0.0,0.0,0.002778990988746321,0.030568900876209337,1.9428902930969203e-16,1.0,1.0
base,base_a_2_2,затухающие колебания,early,24,49,elastic_net,0.05,0.9999828338198926,0.0017839087372231905,0.013894954943731374,0.2,11.0,1.0,10.0,1.0,0.9090909090909091,0.0,0.3635289418414819,2.003565324608041,1.99525303564826,1.0,1.0
