series_code,series_name,variant,n_obs,var_omega,acf1,acf2,window,lags,no_model_share,mean_cond,median_cond,sign_stability_x,sign_stability_lag1,mean_r2
06.1,Добыча сырой нефти и нефтяног,adj_unsmoothed,156.0,0.00026582480576803667,0.8788002278123396,0.7599466685147703,48,6,0.0,9.531384126094808,8.949588672335922,0.9908256880733946,0.6238532110091743,0.18022929718297476
06.1,Добыча сырой нефти и нефтяног,raw,156.0,0.002488030476710422,0.4113647240980337,0.5208994430597266,24,3,0.0,2.0135906796167835,1.777543300478801,1.0,0.7819548872180451,0.5911273309995467
06.1,Добыча сырой нефти и нефтяног,raw,156.0,0.002488030476710422,0.4113647240980337,0.5208994430597266,24,6,0.0,3.1133615078598194,2.854952965346481,0.9924812030075187,0.7218045112781954,0.6896629666337698
06.1,Добыча сырой нефти и нефтяног,raw,156.0,0.002488030476710422,0.4113647240980337,0.5208994430597266,36,3,0.0,2.0270934954930495,1.7882425932882904,1.0,1.0,0.5204352526425228
06.1,Добыча сырой нефти и нефтяног,raw,156.0,0.002488030476710422,0.4113647240980337,0.5208994430597266,36,6,0.0,2.7322978145272088,2.4257256270058978,1.0,0.9917355371900827,0.5836580220454372
06.1,Добыча сырой нефти и нефтяног,raw,156.0,0.002488030476710422,0.4113647240980337,0.5208994430597266,48,3,0.0,2.1230084723883698,2.1175820909406484,1.0,1.0,0.4752235567736423
06.1,Добыча сырой нефти и нефтяног,raw,156.0,0.002488030476710422,0.4113647240980337,0.5208994430597266,48,6,0.0,2.778584199475948,2.74059964436644,1.0,1.0,0.5271574651200327
06.2,Добыча природного газа и газо,adj_smoothed,156.0,0.00021667545818154129,0.9936426121811738,0.9773690120332696,24,3,0.0,71.91140128666314,62.24462234856368,1.0,1.0,0.9461098825015528
06.2,Добыча природного газа и газо,adj_smoothed,156.0,0.00021667545818154129,0.9936426121811738,0.9773690120332696,24,6,0.0,924.6104294409882,853.827412077243,1.0,1.0,0.9878475142819709
06.2,Добыча природного газа и газо,adj_smoothed,156.0,0.00021667545818154129,0.9936426121811738,0.9773690120332696,36,3,0.0,86.43611290723373,70.21137214318917,1.0,1.0,0.9434247375164314
06.2,Добыча природного газа и газо,adj_smoothed,156.0,0.00021667545818154129,0.9936426121811738,0.9773690120332696,36,6,0.0,1126.924204573567,968.9733458594382,1.0,1.0,0.9841103163080135
06.2,Добыча природного газа и газо,adj_smoothed,156.0,0.00021667545818154129,0.9936426121811738,0.9773690120332696,48,3,0.0,101.86451537276068,81.74888749845705,1.0,1.0,0.9409497712206355
06.2,Добыча природного газа и газо,adj_smoothed,156.0,0.00021667545818154129,0.9936426121811738,0.9773690120332696,48,6,0.0,1322.1791699797818,1231.4827292095738,1.0,1.0,0.9819334500118396
06.2,Добыча природного газа и газо,adj_unsmoothed,156.0,0.0011527825290137917,0.9662271195512656,0.9365944277544476,24,3,0.0,5.091539581755463,4.918938852431271,0.849624060150376,0.7218045112781954,0.25132441944847084
06.2,Добыча природного газа и газо,adj_unsmoothed,156.0,0.0011527825290137917,0.9662271195512656,0.9365944277544476,24,6,0.0,7.825645997580557,7.006323236144318,0.8345864661654135,0.7518796992481203,0.41908785115677444
06.2,Добыча природного газа и газо,adj_unsmoothed,156.0,0.0011527825290137917,0.9662271195512656,0.9365944277544476,36,3,0.0,6.055692952353913,5.450858957744162,0.9338842975206612,0.7024793388429752,0.15600000345559842
06.2,Добыча природного газа и газо,adj_unsmoothed,156.0,0.0011527825290137917,0.9662271195512656,0.9365944277544476,36,6,0.0,9.011438010095143,7.612375223541006,0.8842975206611571,0.71900826446281,0.2503681853801951
06.2,Добыча природного газа и газо,adj_unsmoothed,156.0,0.0011527825290137917,0.9662271195512656,0.9365944277544476,48,3,0.0,7.094259768424659,5.9858396190076455,0.9908256880733946,0.7247706422018348,0.1142345851834215
