series_code,window,variants,regime_consistency,interpretability_consistency,tool_consistency,top_beta_consistency,top_b_consistency,reading_mode_consistency
05,36,1,1.0,0.7851239669421488,0.8925619834710744,0.32231404958677684,0.30578512396694213,0.7851239669421488
06,36,1,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.47107438016528924,0.4628099173553719,0.6363636363636364
06.1,36,1,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.47107438016528924,0.4628099173553719,0.6363636363636364
06.2,36,1,0.9752066115702479,0.7520661157024794,0.8677685950413223,0.30578512396694213,0.2809917355371901,0.7272727272727273
07,36,1,0.5619834710743802,0.5619834710743802,0.5619834710743802,0.9173553719008265,0.9421487603305785,0.5619834710743802
07.1,36,1,0.6446280991735537,0.6446280991735537,0.6446280991735537,0.7520661157024794,0.743801652892562,0.6446280991735537
07.2,36,1,0.9752066115702479,0.7272727272727273,0.8925619834710744,0.8677685950413223,0.8760330578512396,0.7272727272727273
08,36,1,1.0,0.768595041322314,0.8925619834710744,0.9338842975206612,0.9338842975206612,0.768595041322314
08.1,36,1,1.0,0.8181818181818182,0.8925619834710744,0.9834710743801653,0.9669421487603306,0.8181818181818182
08.9,36,1,1.0,0.7355371900826446,0.8925619834710744,0.9338842975206612,0.9256198347107438,0.7355371900826446
09,36,1,1.0,0.7768595041322314,0.8925619834710744,0.5371900826446281,0.5702479338842975,0.7768595041322314
10,36,1,1.0,0.8099173553719008,0.8925619834710744,0.8760330578512396,0.8677685950413223,0.8099173553719008
11,36,1,1.0,0.7520661157024794,0.8925619834710744,0.9090909090909091,0.9008264462809917,0.7520661157024794
12,36,1,1.0,0.743801652892562,0.8925619834710744,1.0,1.0,0.743801652892562
13,36,1,1.0,0.8264462809917356,0.8925619834710744,0.9917355371900827,0.9338842975206612,0.8264462809917356
14,36,1,1.0,0.743801652892562,0.8925619834710744,0.8677685950413223,0.8677685950413223,0.743801652892562
15,36,1,1.0,0.7768595041322314,0.8925619834710744,0.9834710743801653,0.9752066115702479,0.7768595041322314
16,36,1,1.0,0.7933884297520661,0.8925619834710744,0.9917355371900827,0.9917355371900827,0.7933884297520661
17,36,1,0.9752066115702479,0.7603305785123967,0.8925619834710744,0.4628099173553719,0.48760330578512395,0.7603305785123967
18,36,1,1.0,0.768595041322314,0.8925619834710744,0.6115702479338843,0.6528925619834711,0.768595041322314
19,36,1,0.9256198347107438,0.7355371900826446,0.8429752066115702,0.47107438016528924,0.48760330578512395,0.7355371900826446
20,36,1,0.9834710743801653,0.768595041322314,0.8925619834710744,0.8264462809917356,0.8264462809917356,0.768595041322314
21,36,1,1.0,0.8016528925619835,0.8925619834710744,0.8429752066115702,0.8347107438016529,0.8016528925619835
22.1,36,1,1.0,0.7520661157024794,0.8925619834710744,0.7355371900826446,0.743801652892562,0.7520661157024794
22.2,36,1,0.8760330578512396,0.743801652892562,0.7851239669421488,0.5785123966942148,0.5702479338842975,0.6694214876033058
23,36,1,1.0,0.6942148760330579,0.8925619834710744,0.4132231404958678,0.45454545454545453,0.6942148760330579
24,36,1,0.9917355371900827,0.7851239669421488,0.8925619834710744,0.5702479338842975,0.5454545454545454,0.7851239669421488
25,36,1,1.0,0.6942148760330579,0.8925619834710744,0.71900826446281,0.6942148760330579,0.6942148760330579
26,36,1,1.0,0.768595041322314,0.8925619834710744,0.9752066115702479,0.9421487603305785,0.768595041322314
27,36,1,1.0,0.7768595041322314,0.8925619834710744,0.8429752066115702,0.8347107438016529,0.7768595041322314
28,36,1,1.0,0.7024793388429752,0.8925619834710744,0.9917355371900827,1.0,0.7024793388429752
29,36,1,1.0,0.7355371900826446,0.8925619834710744,0.6942148760330579,0.7107438016528925,0.7355371900826446
30.2,36,1,1.0,0.8016528925619835,0.8925619834710744,0.6859504132231405,0.7107438016528925,0.8016528925619835
31,36,1,1.0,0.8099173553719008,0.8925619834710744,0.859504132231405,0.8347107438016529,0.8099173553719008
32.1,36,1,1.0,0.6859504132231405,0.8925619834710744,0.71900826446281,0.7107438016528925,0.6859504132231405
33,36,1,1.0,0.7768595041322314,0.8925619834710744,0.9338842975206612,0.9256198347107438,0.7768595041322314
"35.1+35.3 Производство, передача и",36,1,1.0,0.7520661157024794,0.8925619834710744,0.7933884297520661,0.7851239669421488,0.7520661157024794
35.2,36,1,1.0,0.768595041322314,0.8925619834710744,0.743801652892562,0.6859504132231405,0.768595041322314
36,36,1,0.768595041322314,0.768595041322314,0.768595041322314,0.8925619834710744,0.859504132231405,0.768595041322314
37,36,1,0.9338842975206612,0.71900826446281,0.8429752066115702,0.6694214876033058,0.6446280991735537,0.71900826446281
38,36,1,0.9917355371900827,0.743801652892562,0.8842975206611571,0.2727272727272727,0.256198347107438,0.7355371900826446
39,36,1,0.9917355371900827,0.8512396694214877,0.8925619834710744,0.7355371900826446,0.743801652892562,0.8512396694214877
B,36,1,0.6446280991735537,0.6446280991735537,0.6446280991735537,0.3884297520661157,0.38016528925619836,0.6446280991735537
C,36,1,0.6776859504132231,0.6198347107438017,0.6776859504132231,0.7107438016528925,0.6363636363636364,0.6198347107438017
D,36,1,1.0,0.7520661157024794,0.8925619834710744,0.7851239669421488,0.7933884297520661,0.7520661157024794
E,36,1,0.9917355371900827,0.7603305785123967,0.8925619834710744,0.35537190082644626,0.3884297520661157,0.7603305785123967
ПРОМ,36,1,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.30578512396694213,0.2975206611570248,0.9090909090909091
05,48,1,1.0,0.8165137614678899,0.8990825688073395,0.28440366972477066,0.29357798165137616,0.8165137614678899
06,48,1,0.5779816513761468,0.5596330275229358,0.5779816513761468,0.43119266055045874,0.46788990825688076,0.5596330275229358
06.1,48,1,0.5779816513761468,0.5596330275229358,0.5779816513761468,0.43119266055045874,0.46788990825688076,0.5596330275229358
06.2,48,1,1.0,0.7706422018348624,0.8990825688073395,0.27522935779816515,0.26605504587155965,0.7706422018348624
07,48,1,0.7064220183486238,0.6055045871559633,0.7064220183486238,0.944954128440367,0.8899082568807339,0.6055045871559633
07.1,48,1,0.6055045871559633,0.6055045871559633,0.6055045871559633,0.6422018348623854,0.7064220183486238,0.6055045871559633
07.2,48,1,1.0,0.7431192660550459,0.8990825688073395,0.963302752293578,0.9724770642201835,0.7431192660550459
08,48,1,1.0,0.7431192660550459,0.8990825688073395,0.9908256880733946,0.981651376146789,0.7431192660550459
08.1,48,1,1.0,0.7706422018348624,0.8990825688073395,1.0,1.0,0.7706422018348624
08.9,48,1,1.0,0.7247706422018348,0.8990825688073395,1.0,0.9908256880733946,0.7247706422018348
09,48,1,1.0,0.7889908256880734,0.8990825688073395,0.42201834862385323,0.42201834862385323,0.7889908256880734
10,48,1,1.0,0.7614678899082569,0.8990825688073395,0.9357798165137615,0.9174311926605505,0.7614678899082569
11,48,1,1.0,0.7798165137614679,0.8990825688073395,0.9908256880733946,0.9908256880733946,0.7798165137614679
12,48,1,1.0,0.7889908256880734,0.8990825688073395,1.0,1.0,0.7889908256880734
13,48,1,1.0,0.8623853211009175,0.8990825688073395,0.9541284403669725,0.8899082568807339,0.8623853211009175
14,48,1,1.0,0.8165137614678899,0.8990825688073395,0.963302752293578,0.963302752293578,0.8165137614678899
15,48,1,1.0,0.7706422018348624,0.8990825688073395,0.9908256880733946,1.0,0.7706422018348624
16,48,1,1.0,0.8440366972477065,0.8990825688073395,1.0,1.0,0.8440366972477065
17,48,1,1.0,0.7614678899082569,0.8990825688073395,0.5321100917431193,0.4954128440366973,0.7614678899082569
18,48,1,1.0,0.7889908256880734,0.8990825688073395,0.8256880733944955,0.8073394495412844,0.7889908256880734
19,48,1,1.0,0.8073394495412844,0.8990825688073395,0.5229357798165137,0.4954128440366973,0.8073394495412844
20,48,1,1.0,0.7798165137614679,0.8990825688073395,0.944954128440367,0.9541284403669725,0.7798165137614679
21,48,1,1.0,0.7431192660550459,0.8990825688073395,0.9724770642201835,0.963302752293578,0.7431192660550459
22.1,48,1,1.0,0.7522935779816514,0.8990825688073395,0.8256880733944955,0.8532110091743119,0.7522935779816514
22.2,48,1,1.0,0.6972477064220184,0.8990825688073395,0.6146788990825688,0.6146788990825688,0.6972477064220184
23,48,1,1.0,0.7247706422018348,0.8990825688073395,0.43119266055045874,0.44954128440366975,0.7247706422018348
24,48,1,1.0,0.7889908256880734,0.8990825688073395,0.6238532110091743,0.6330275229357798,0.7889908256880734
25,48,1,1.0,0.7522935779816514,0.8990825688073395,0.7798165137614679,0.7614678899082569,0.7522935779816514
26,48,1,1.0,0.7614678899082569,0.8990825688073395,0.9908256880733946,0.944954128440367,0.7614678899082569
27,48,1,1.0,0.7614678899082569,0.8990825688073395,0.8165137614678899,0.8073394495412844,0.7614678899082569
28,48,1,1.0,0.7981651376146789,0.8990825688073395,1.0,1.0,0.7981651376146789
29,48,1,1.0,0.7889908256880734,0.8990825688073395,0.6788990825688074,0.7155963302752294,0.7889908256880734
30.2,48,1,1.0,0.8715596330275229,0.8990825688073395,0.8256880733944955,0.8256880733944955,0.8715596330275229
31,48,1,1.0,0.8165137614678899,0.8990825688073395,0.9357798165137615,0.8990825688073395,0.8165137614678899
32.1,48,1,1.0,0.7706422018348624,0.8990825688073395,0.6146788990825688,0.5688073394495413,0.7706422018348624
33,48,1,1.0,0.8532110091743119,0.8990825688073395,1.0,1.0,0.8532110091743119
"35.1+35.3 Производство, передача и",48,1,1.0,0.7155963302752294,0.8990825688073395,0.8165137614678899,0.8073394495412844,0.7155963302752294
35.2,48,1,1.0,0.7706422018348624,0.8990825688073395,0.7614678899082569,0.7522935779816514,0.7706422018348624
36,48,1,0.5779816513761468,0.5779816513761468,0.5779816513761468,0.8990825688073395,0.8532110091743119,0.5779816513761468
37,48,1,1.0,0.7706422018348624,0.8990825688073395,0.7431192660550459,0.7339449541284404,0.7706422018348624
38,48,1,1.0,0.8532110091743119,0.8990825688073395,0.22935779816513763,0.24770642201834864,0.8532110091743119
39,48,1,1.0,0.8256880733944955,0.8990825688073395,0.8623853211009175,0.8623853211009175,0.8256880733944955
B,48,1,0.5412844036697247,0.5412844036697247,0.5412844036697247,0.41284403669724773,0.4036697247706422,0.5412844036697247
C,48,1,0.7522935779816514,0.7155963302752294,0.7522935779816514,0.6238532110091743,0.6055045871559633,0.7155963302752294
D,48,1,1.0,0.7155963302752294,0.8990825688073395,0.8073394495412844,0.7889908256880734,0.7155963302752294
E,48,1,1.0,0.7889908256880734,0.8990825688073395,0.3853211009174312,0.3944954128440367,0.7889908256880734
ПРОМ,48,1,1.0,1.0,1.0,0.44036697247706424,0.46788990825688076,1.0
