start,end,var_omega,cond_scaled,mean_abs_pair_corr,regime_label,preferred_tool,mean_x,std_x,rel_range,omega_std,turning_rate,unique_ratio,lag1_autocorr,lag2_autocorr,dominant_period,dominant_acf,corr_omega_x,corr_omega_lag1,start_mean,end_mean,max_x,collapse_ratio,growth_ratio,series_code,series_name,variant,window,lags,interpretability_label,var_q10_threshold,cond_q90_threshold,corr_q90_threshold,center_date
56,92,0.0005070663161382,9.685663364015811,0.7369521231051467,turbulent_informative,do_not_read_regression,121.07758333333337,4.066437687371807,0.1326009287433471,0.0225181330517939,0.6764705882352942,1.0,0.7680357043721516,0.7310685959886754,3.0,0.7215554822355396,-0.3386821279171969,-0.0451341844786945,117.64533333333334,125.68791666666668,131.816,0.9535103224697054,1.0683629609900946,10,Производство пищевых продуктов,adj_unsmoothed,36,6,low_dispersion,0.000515944996748,8.291992382467097,0.7167770849661994,2019-03-01
57,93,0.0005205037534428,9.773526434211089,0.7381809545700333,turbulent_informative,phase_short_forecast,121.27375,4.033517023193144,0.1323864397695297,0.022814551353092,0.6764705882352942,1.0,0.7600693839590965,0.7256355203978797,3.0,0.74751566495839,-0.3783502071213193,-0.0700293425099591,117.95633333333336,125.64241666666668,131.816,0.9531651443426192,1.065160412469021,10,Производство пищевых продуктов,adj_unsmoothed,36,6,collinearity_heavy,0.000515944996748,8.291992382467097,0.7167770849661994,2019-04-01
58,94,0.0005217108902358,9.654372203653008,0.7315429350540503,turbulent_informative,phase_short_forecast,121.5337777777778,3.970998475832208,0.1300708353599,0.0228409914459913,0.7058823529411765,1.0,0.750190117260093,0.7297474408937649,3.0,0.7543674550727439,-0.3440051423863928,-0.0169153430478058,118.07108333333332,125.86241666666668,131.816,0.9548341374845744,1.0659884970423892,10,Производство пищевых продуктов,adj_unsmoothed,36,6,collinearity_heavy,0.000515944996748,8.291992382467097,0.7167770849661994,2019-05-01
59,95,0.0005111841325595,9.724959187455664,0.7217446190930044,turbulent_informative,do_not_read_regression,121.7445277777778,3.872242018421419,0.1289832100598635,0.0226093815165208,0.7058823529411765,1.0,0.7493147110008704,0.7225570615023663,3.0,0.7646150399534464,-0.3656438181578454,-0.0462028709756482,118.15483333333331,125.75800000000002,131.816,0.9540419979365178,1.0643491802423095,10,Производство пищевых продуктов,adj_unsmoothed,36,6,low_dispersion,0.000515944996748,8.291992382467097,0.7167770849661994,2019-06-01
60,96,0.0005321983778919,9.747452216502838,0.7068121340906464,turbulent_informative,phase_short_forecast,121.77794444444446,3.853454798723148,0.1289478162210544,0.0230694251747191,0.7058823529411765,1.0,0.7349159315657227,0.6964978675901116,3.0,0.7561400485265695,-0.389500077932917,-0.0845307273482751,118.07675,125.40116666666668,131.816,0.9513349416358156,1.062030981261482,10,Производство пищевых продуктов,adj_unsmoothed,36,6,collinearity_heavy,0.000515944996748,8.291992382467097,0.7167770849661994,2019-07-01
61,97,0.0006674347208428,8.942664520140866,0.6907718313338133,turbulent_informative,phase_short_forecast,122.07619444444444,3.9659313801667513,0.1286327778438921,0.0258347579985337,0.7058823529411765,1.0,0.6722018262329547,0.6844423090849946,3.0,0.7220178383766688,-0.3616105035912375,-0.0160328832985293,117.91675,125.73291666666668,131.816,0.9538517074305598,1.0662854655226393,10,Производство пищевых продуктов,adj_unsmoothed,36,6,collinearity_heavy,0.000515944996748,8.291992382467097,0.7167770849661994,2019-08-01
62,98,0.0006818145138779,8.70008095856594,0.6731760797612181,turbulent_informative,phase_short_forecast,122.29400000000004,3.9027880917222344,0.1284036829280259,0.0261115781575517,0.7058823529411765,1.0,0.67051733484518,0.6556146115468046,3.0,0.6972800624403134,-0.4144809473383116,-0.0274830536136815,117.89225,125.54758333333332,131.816,0.9524457071473366,1.0649350006750515,10,Производство пищевых продуктов,adj_unsmoothed,36,6,collinearity_heavy,0.000515944996748,8.291992382467097,0.7167770849661994,2019-09-01
63,99,0.0006715811166528,8.375859845495103,0.657313578385745,turbulent_informative,phase_short_forecast,122.42622222222224,3.904511771379297,0.1282650049553654,0.0259148821462271,0.7058823529411765,1.0,0.6712837977426546,0.6550185503614726,3.0,0.6741178063060925,-0.4437276283711723,-0.0424917532608334,117.98708333333332,125.45975,131.816,0.9517793742792984,1.063334616430471,10,Производство пищевых продуктов,adj_unsmoothed,36,6,collinearity_heavy,0.000515944996748,8.291992382467097,0.7167770849661994,2019-10-01
64,100,0.0006690454666323,7.377874017527939,0.6357882611946849,turbulent_informative,phase_short_forecast,122.66680555555553,3.8871580436915343,0.1280134420137658,0.0258659132186034,0.7058823529411765,1.0,0.6595155149827138,0.6511338695151757,3.0,0.6833390627281317,-0.4095367490460937,-0.0025135760306833,118.10058333333336,125.67966666666666,131.816,0.953447735226882,1.064174817087412,10,Производство пищевых продуктов,adj_unsmoothed,36,6,interpretable,0.000515944996748,8.291992382467097,0.7167770849661994,2019-11-01
65,101,0.0006543201005994,6.874098216919045,0.6100590556976586,turbulent_informative,phase_short_forecast,122.98994444444445,3.835955740276212,0.127677104587141,0.0255796814014453,0.6764705882352942,1.0,0.6625011288487265,0.6297732042307328,3.0,0.6525238623514463,-0.4181685817510244,-0.0303031975019814,118.76075,125.36441666666666,131.816,0.9510561439177844,1.0556047908645465,10,Производство пищевых продуктов,adj_unsmoothed,36,6,interpretable,0.000515944996748,8.291992382467097,0.7167770849661994,2019-12-01
66,102,0.0006539107092055,6.008565931577088,0.5821091957420588,turbulent_informative,phase_short_forecast,123.17241666666668,3.823153536712562,0.1274879589518486,0.0255716778723177,0.7058823529411765,1.0,0.659432224578022,0.626823275739807,3.0,0.6494464888122771,-0.4534396176528547,-0.0556393171902681,119.16116666666667,125.25941666666664,131.816,0.9502595790091236,1.0511764878658731,10,Производство пищевых продуктов,adj_unsmoothed,36,6,interpretable,0.000515944996748,8.291992382467097,0.7167770849661994,2020-01-01
67,103,0.0006655280922287,5.024006522940263,0.5437340530789176,turbulent_informative,phase_short_forecast,123.48938888888888,3.827014896160203,0.1271607232110361,0.0257978311535818,0.7058823529411765,1.0,0.6420877500511961,0.6387995305742541,3.0,0.6157184130140334,-0.4022105755806696,0.0189009570116874,119.38575000000002,125.68174999999998,131.816,0.9534635400861806,1.052736612200367,10,Производство пищевых продуктов,adj_unsmoothed,36,6,interpretable,0.000515944996748,8.291992382467097,0.7167770849661994,2020-02-01
68,104,0.0006460392860427,4.555455157737966,0.5062381849552976,turbulent_informative,phase_short_forecast,123.83561111111108,3.815099811405679,0.1268052045700371,0.0254173028868663,0.6764705882352942,1.0,0.6584489469728156,0.6125625390312476,3.0,0.5877790858945993,-0.4279117936717498,-0.0404163266329101,119.8995,125.91941666666666,131.816,0.9552665584349902,1.0502080214401783,10,Производство пищевых продуктов,adj_unsmoothed,36,6,interpretable,0.000515944996748,8.291992382467097,0.7167770849661994,2020-03-01
69,105,0.0006353284439339,4.304844643941006,0.4678364655579389,turbulent_informative,phase_short_forecast,124.00469444444444,3.807129363440272,0.1266323026749211,0.0252057224441988,0.7058823529411765,1.0,0.6579010939106567,0.6141722103526015,3.0,0.564410071611052,-0.4826411555896397,-0.0859889934295106,120.2225,126.14916666666667,131.816,0.9570095183184644,1.049297483138902,10,Производство пищевых продуктов,adj_unsmoothed,36,6,interpretable,0.000515944996748,8.291992382467097,0.7167770849661994,2020-04-01
70,106,0.0006860328051845,3.820102354393671,0.4035795151702664,turbulent_informative,phase_short_forecast,124.43319444444444,3.877615968746808,0.1322074875072411,0.0261922279538141,0.7058823529411765,1.0,0.6165283251299557,0.611429897124523,3.0,0.5080769139432846,-0.4430257702016816,0.0013920641336929,120.66783333333332,126.76933333333336,132.564,0.9562877804934472,1.0505644282444786,10,Производство пищевых продуктов,adj_unsmoothed,36,6,interpretable,0.000515944996748,8.291992382467097,0.7167770849661994,2020-05-01
71,107,0.0006869266717333,3.6834148824070048,0.3684131543620894,turbulent_informative,phase_short_forecast,124.90713888888888,3.982989142401426,0.1438028295242442,0.0262092859828981,0.6764705882352942,1.0,0.6349979170820826,0.5452196687663584,3.0,0.4555951015988654,-0.4605433505888682,-0.0401800659254297,121.32075,127.64266666666668,134.075,0.9520243644726212,1.0521091129643256,10,Производство пищевых продуктов,adj_unsmoothed,36,6,interpretable,0.000515944996748,8.291992382467097,0.7167770849661994,2020-06-01
