start,end,var_omega,cond_scaled,mean_abs_pair_corr,regime_label,preferred_tool,mean_x,std_x,rel_range,omega_std,turning_rate,unique_ratio,lag1_autocorr,lag2_autocorr,dominant_period,dominant_acf,corr_omega_x,corr_omega_lag1,start_mean,end_mean,max_x,collapse_ratio,growth_ratio,series_code,series_name,variant,window,lags,interpretability_label,var_q10_threshold,cond_q90_threshold,corr_q90_threshold
110,134,0.0005984732195848354,3.963411768560496,0.5456257321055278,turbulent_informative,phase_short_forecast,136.206625,3.880774534081436,0.1284298763000697,0.02446371230179172,0.5909090909090909,1.0,0.6473264423303007,0.39596544575530496,5.0,0.17156392535317574,-0.44557323108384445,-0.31951390740507335,132.59675,138.226,142.539,0.9697416145756601,1.0424539062986085,24,Производство металлургическое,adj_unsmoothed,24,3,interpretable,0.0005119565914561722,5.020217864838233,0.745744837229929
111,135,0.0006281831940366589,3.4144493742509376,0.4916760910064049,turbulent_informative,phase_short_forecast,136.25429166666666,3.8508679484756696,0.12838494689616797,0.025063583024712545,0.6363636363636364,1.0,0.6225425593371612,0.38628505036337546,5.0,0.14807988363586588,-0.6460856248706677,-0.4613065093770234,132.88125,137.7555,142.539,0.9664407635804939,1.0366812473543108,24,Производство металлургическое,adj_unsmoothed,24,3,interpretable,0.0005119565914561722,5.020217864838233,0.745744837229929
112,136,0.0005017518116841347,2.8502238009860723,0.4116933279625164,turbulent_informative,do_not_read_regression,136.510125,3.8380772998175776,0.1281443409417432,0.0223998172243466,0.6363636363636364,1.0,0.63744604459922,0.37636322434932584,5.0,0.18173838599989778,-0.7267403784265729,-0.4010567556109522,133.234125,137.63625000000002,142.539,0.9656041504430368,1.0330405217131873,24,Производство металлургическое,adj_unsmoothed,24,3,low_dispersion,0.0005119565914561722,5.020217864838233,0.745744837229929
113,137,0.0005197962147927654,1.9147519895022733,0.2765900517468441,turbulent_informative,phase_short_forecast,136.97975,3.0059530414662157,0.11043968177778092,0.02279903977786708,0.6818181818181818,1.0,0.35777074737487047,0.2735864258228908,5.0,0.1761090649265784,-0.6359902064974041,-0.09523372608466195,134.460375,137.34275000000002,142.539,0.9635450648594422,1.0214366128311039,24,Производство металлургическое,adj_unsmoothed,24,3,interpretable,0.0005119565914561722,5.020217864838233,0.745744837229929
114,138,0.0004017304771623745,1.6600962347913102,0.22180374417942525,plateau_degenerate,do_not_read_regression,137.34574999999998,2.2610653877099613,0.059870800516215364,0.020043215240134863,0.6818181818181818,1.0,0.24339670750927714,0.14559366879532784,3.0,0.31208175892401974,-0.6402377778169386,-0.07170607376279009,135.68325,136.97875,142.539,0.960991377798357,1.009547972944339,24,Производство металлургическое,adj_unsmoothed,24,3,plateau_degenerate,0.0005119565914561722,5.020217864838233,0.745744837229929
115,139,0.00044841704810294985,1.5280293161669245,0.18609596011396567,plateau_degenerate,do_not_read_regression,137.620625,2.276972932288612,0.05930797073476434,0.021175860032191133,0.7272727272727273,1.0,0.14732710138936375,0.09664387519291433,3.0,0.2888528713622132,-0.6340365249024067,-0.06926386119503788,136.71112499999998,136.88575,142.539,0.9603389247854974,1.001277328381286,24,Производство металлургическое,adj_unsmoothed,24,3,plateau_degenerate,0.0005119565914561722,5.020217864838233,0.745744837229929
116,140,0.0004543217533773657,1.4660171611295327,0.1430441990476005,plateau_degenerate,do_not_read_regression,137.76387499999998,2.230943322761697,0.05924630096242559,0.021314824732504036,0.7272727272727273,1.0,0.15725319633554252,0.036292464433659945,3.0,0.24027050508393488,-0.661908911752888,-0.08096346090354994,137.19375,137.4105,142.539,0.9640203733714985,1.0015798824654916,24,Производство металлургическое,adj_unsmoothed,24,3,plateau_degenerate,0.0005119565914561722,5.020217864838233,0.745744837229929
117,141,0.0005445106812749346,1.4305498051516456,0.108894440997979,plateau_degenerate,do_not_read_regression,137.55358333333334,2.5015756520752186,0.07596312467323328,0.02333475265081965,0.6818181818181818,1.0,0.09081932078852585,-0.12339383232640654,3.0,0.24626689505920135,-0.6450725513539696,-0.1969640708011517,137.263375,136.95725,142.539,0.9608405418867819,0.99776979838941,24,Производство металлургическое,adj_unsmoothed,24,3,plateau_degenerate,0.0005119565914561722,5.020217864838233,0.745744837229929
118,142,0.0005622795916148747,1.4850511293590234,0.11707307417154904,plateau_degenerate,do_not_read_regression,137.53133333333332,2.5241320565471383,0.07597541408745632,0.023712435379245098,0.7272727272727273,1.0,0.1572743622340281,-0.17982443420460162,8.0,0.16884578253351312,-0.6499112820395204,-0.17637471591305726,137.797125,136.570875,142.539,0.9581298802433019,0.9911010480080772,24,Производство металлургическое,adj_unsmoothed,24,3,plateau_degenerate,0.0005119565914561722,5.020217864838233,0.745744837229929
119,143,0.00057812113967632,1.4639753715248083,0.1407904954247835,plateau_degenerate,do_not_read_regression,137.60929166666668,2.4891182588614016,0.07593237254146162,0.02404414980148643,0.6818181818181818,1.0,0.13735564649923115,-0.19894015759987035,8.0,0.18386418304507926,-0.6819829955746849,-0.25169115811051573,138.126125,136.94625,142.539,0.9607633700250459,0.9914579881249835,24,Производство металлургическое,adj_unsmoothed,24,3,plateau_degenerate,0.0005119565914561722,5.020217864838233,0.745744837229929
