model,case,regime,window,lags,period,rho,windows,false_lag_rate,hit_rate,no_model_share,mean_false_lag_count,mean_selected_count,mean_b_sum,std_b_sum,mean_R2_enter,rho_band
delay,delay_g_1_05,цикл,40,3,6,6.666666666666667,140,0.11547619047619048,1.0,0.0,0.2357142857142857,1.2357142857142858,-1.05,1.7206717641926457e-15,1.0,rho>=2
delay,delay_g_1_05,цикл,50,3,6,8.333333333333334,130,0.14615384615384616,1.0,0.0,0.2923076923076923,1.2923076923076924,-1.0500000000000007,1.9428349655774438e-15,1.0,rho>=2
delay,delay_g_1_05,цикл,15,5,6,2.5,165,0.0,1.0,0.0,0.0,1.0,-1.0499974230142857,3.234272056649411e-05,0.9999999999501668,rho>=2
delay,delay_g_1_05,цикл,20,5,6,3.3333333333333335,160,0.00625,1.0,0.0,0.0125,1.0125,-1.0499999999995435,6.3541917106359535e-12,1.0,rho>=2
delay,delay_g_1_05,цикл,25,5,6,4.166666666666667,155,0.03655913978494624,1.0,0.0,0.07741935483870968,1.0774193548387097,-1.05000000000005,1.6375404904082885e-13,1.0,rho>=2
delay,delay_g_1_05,цикл,30,5,6,5.0,150,0.08222222222222222,1.0,0.0,0.17333333333333334,1.1733333333333333,-1.0500000000000458,1.3498513041417355e-13,1.0,rho>=2
delay,delay_g_1_05,цикл,40,5,6,6.666666666666667,140,0.16071428571428573,1.0,0.0,0.32142857142857145,1.3214285714285714,-1.0500000000000513,9.75936927424751e-14,1.0,rho>=2
delay,delay_g_1_05,цикл,50,5,6,8.333333333333334,130,0.20512820512820515,1.0,0.0,0.4153846153846154,1.4153846153846155,-1.0500000000000127,5.912807372412754e-14,1.0,rho>=2
delay,delay_g_1_05,цикл,20,10,6,3.3333333333333335,160,0.0,1.0,0.0,0.0,1.0,-0.2301851183347179,0.2377898343475002,0.9999999999996415,rho>=2
delay,delay_g_1_05,цикл,25,10,6,4.166666666666667,155,0.01935483870967742,1.0,0.0,0.03870967741935484,1.038709677419355,-1.0499999993318134,8.328667304916475e-09,1.0,rho>=2
delay,delay_g_1_05,цикл,30,10,6,5.0,150,0.2,1.0,0.0,0.41333333333333333,1.4133333333333333,-1.0500000000001406,6.272701969805221e-13,1.0,rho>=2
delay,delay_g_1_05,цикл,40,10,6,6.666666666666667,140,0.3130952380952381,1.0,0.0,0.6642857142857143,1.6642857142857144,-1.0499999999998684,3.9010459008142096e-13,1.0,rho>=2
delay,delay_g_1_05,цикл,50,10,6,8.333333333333334,130,0.3923076923076923,1.0,0.0,0.8615384615384616,1.8615384615384616,-1.050000000000179,3.464681510225388e-13,1.0,rho>=2
delay,delay_g_1_25,сложный цикл,15,3,8,1.875,165,0.0,1.0,0.0,0.0,1.0,-1.2499999999997313,3.3985627404900075e-12,1.0,1<=rho<2
delay,delay_g_1_25,сложный цикл,20,3,8,2.5,160,0.025,1.0,0.0,0.05,1.05,-1.25,9.836009971006877e-16,1.0,rho>=2
delay,delay_g_1_25,сложный цикл,25,3,8,3.125,155,0.06774193548387097,1.0,0.0,0.13548387096774195,1.135483870967742,-1.25,8.061723227452631e-16,1.0,rho>=2
delay,delay_g_1_25,сложный цикл,30,3,8,3.75,150,0.13666666666666666,1.0,0.0,0.2733333333333333,1.2733333333333334,-1.25,7.287601383824353e-16,1.0,rho>=2
delay,delay_g_1_25,сложный цикл,40,3,8,5.0,140,0.25476190476190474,1.0,0.0,0.5142857142857142,1.5142857142857142,-1.25,7.359568364045392e-16,1.0,rho>=2
delay,delay_g_1_25,сложный цикл,50,3,8,6.25,130,0.28846153846153844,1.0,0.0,0.5923076923076923,1.5923076923076922,-1.25,7.666966012745636e-16,1.0,rho>=2
delay,delay_g_1_25,сложный цикл,15,5,8,1.875,165,0.0,1.0,0.0,0.0,1.0,-1.2499999127965926,1.1943291640045167e-06,0.9999999999984552,1<=rho<2
delay,delay_g_1_25,сложный цикл,20,5,8,2.5,160,0.015625,1.0,0.0,0.03125,1.03125,-1.2500000000000002,2.11655958765649e-15,1.0,rho>=2
delay,delay_g_1_25,сложный цикл,25,5,8,3.125,155,0.07096774193548387,1.0,0.0,0.14193548387096774,1.1419354838709677,-1.2499999999999998,1.5928669470960795e-15,1.0,rho>=2
delay,delay_g_1_25,сложный цикл,30,5,8,3.75,150,0.12111111111111111,1.0,0.0,0.26,1.26,-1.2499999999999998,1.873455473657759e-15,1.0,rho>=2
delay,delay_g_1_25,сложный цикл,40,5,8,5.0,140,0.3,1.0,0.0,0.6857142857142857,1.6857142857142857,-1.2499999999999998,1.6284239146450465e-15,1.0,rho>=2
delay,delay_g_1_25,сложный цикл,50,5,8,6.25,130,0.42115384615384616,1.0,0.0,1.0,2.0,-1.25,1.7697823080182257e-15,1.0,rho>=2
delay,delay_g_1_25,сложный цикл,20,10,8,2.5,160,0.0,1.0,0.0,0.0,1.0,0.291024128036915,0.3170747588356303,1.0,rho>=2
delay,delay_g_1_25,сложный цикл,25,10,8,3.125,155,0.03870967741935484,1.0,0.0,0.07741935483870968,1.0774193548387097,-1.2499999999999922,8.844944454021326e-14,1.0,rho>=2
delay,delay_g_1_25,сложный цикл,30,10,8,3.75,150,0.12,1.0,0.0,0.24,1.24,-1.2499999999999982,1.0101158372414694e-14,1.0,rho>=2
delay,delay_g_1_25,сложный цикл,40,10,8,5.0,140,0.37797619047619047,1.0,0.0,0.8571428571428571,1.8571428571428572,-1.2499999999999993,5.866107684070517e-15,1.0,rho>=2
delay,delay_g_1_25,сложный цикл,50,10,8,6.25,130,0.46089743589743587,1.0,0.0,1.1384615384615384,2.1384615384615384,-1.2500000000000002,4.21095848533071e-15,1.0,rho>=2
mixed,mixed_q_2_8_gamma_0_5,цикл со смешанной памятью,15,3,3,5.0,165,0.08484848484848485,0.9151515151515152,0.0,0.1696969696969697,2.0,-1.3999999994951942,5.267832454267117e-09,1.0,rho>=2
mixed,mixed_q_2_8_gamma_0_5,цикл со смешанной памятью,20,3,3,6.666666666666667,160,0.058333333333333334,0.94375,0.0,0.11875,2.00625,-1.4000000004530604,7.536210770522759e-09,1.0,rho>=2
