model,case,regime,segment,method,observation,valid_share,a_mae,a_median_ae,a_iqr_ae,k_mae,k_median_ae,k_iqr_ae,mean_R2,g_mae,g_median_ae,g_iqr_ae,q_mae,q_median_ae,q_iqr_ae,gamma_mae,gamma_median_ae,gamma_iqr_ae
delay,delay_g_1_25,усиленный цикл,early,direct,clean,1.0,,,,5.235850067684812e-14,2.220446049250313e-16,2.525757381022231e-15,,6.573668812358125e-14,2.220446049250313e-16,3.552713678800501e-15,,,,,,
delay,delay_g_1_25,усиленный цикл,late,direct,clean,1.0,,,,2.160230563168949e-15,2.220446049250313e-16,4.996003610813204e-16,,2.912924139186004e-15,2.220446049250313e-16,9.992007221626409e-16,,,,,,
delay,delay_g_1_25,усиленный цикл,middle,direct,clean,1.0,,,,1.783758326231085e-15,2.220446049250313e-16,7.771561172376096e-16,,2.575717417130363e-15,2.220446049250313e-16,1.2212453270876722e-15,,,,,,
delay,delay_g_1_25,усиленный цикл,early,regression,clean,1.0,,,,2.0354088784794536e-16,2.220446049250313e-16,4.440892098500626e-16,1.0,2.4054832200211723e-16,2.220446049250313e-16,4.440892098500626e-16,,,,,,
delay,delay_g_1_25,усиленный цикл,late,regression,clean,1.0,,,,1.9712123090283391e-16,2.220446049250313e-16,3.3306690738754696e-16,1.0,3.3080114611280177e-16,2.220446049250313e-16,2.220446049250313e-16,,,,,,
delay,delay_g_1_25,усиленный цикл,middle,regression,clean,1.0,,,,1.8440992612417855e-16,2.220446049250313e-16,2.220446049250313e-16,1.0,2.9731396252673683e-16,2.220446049250313e-16,4.440892098500626e-16,,,,,,
delay,delay_g_1_25,усиленный цикл,early,direct,noisy,0.9310344827586207,,,,0.22238934703107252,0.04212913154187048,0.2928582008310915,,5.626232490999899,0.11816230871218758,0.6024063804204542,,,,,,
delay,delay_g_1_25,усиленный цикл,late,direct,noisy,0.9152542372881356,,,,0.3012247901658822,0.07296327075766484,0.21991173622668025,,0.6585534991115944,0.1621518682391121,0.24601185201632497,,,,,,
delay,delay_g_1_25,усиленный цикл,middle,direct,noisy,0.8833333333333333,,,,0.2695084551466006,0.03805619492890455,0.08550901904081054,,0.31401091642205187,0.11430492457307961,0.22512384561067877,,,,,,
delay,delay_g_1_25,усиленный цикл,early,regression,noisy,1.0,,,,0.006043232923902253,0.005443192668527774,0.007584347786922074,0.9975946212207152,0.007607678296087596,0.006978458940352761,0.005926979349176131,,,,,,
delay,delay_g_1_25,усиленный цикл,late,regression,noisy,1.0,,,,0.003738055490243295,0.0028921422755880943,0.003705753899712283,0.9957418708590006,0.008368200996359156,0.00892139346429266,0.006332514315534166,,,,,,
delay,delay_g_1_25,усиленный цикл,middle,regression,noisy,1.0,,,,0.00474980001422601,0.0025623861731915998,0.007189694635239774,0.9969450738959066,0.00808427964424644,0.007542621267356608,0.0069740425465748546,,,,,,
delay,delay_g_1_6,турбулентный режим,early,direct,clean,0.20689655172413793,,,,0.05953716343375565,1.559863349598345e-14,9.661993427556581e-13,,0.11098625603666364,2.5202062658991053e-14,1.5460410729417617e-12,,,,,,
delay,delay_g_1_6,турбулентный режим,late,direct,clean,0.0,,,,,,,,,,,,,,,,
delay,delay_g_1_6,турбулентный режим,middle,direct,clean,0.0,,,,,,,,,,,,,,,,
delay,delay_g_1_6,турбулентный режим,early,regression,clean,0.25,,,,0.3821930018999414,0.21812597342471196,0.596101880323131,0.2368196146799385,1.183133547653375,1.2258060886415838,0.22822749186746671,,,,,,
delay,delay_g_1_6,турбулентный режим,late,regression,clean,0.0,,,,,,,,,,,,,,,,
delay,delay_g_1_6,турбулентный режим,middle,regression,clean,0.0,,,,,,,,,,,,,,,,
delay,delay_g_1_6,турбулентный режим,early,direct,noisy,0.13793103448275862,,,,0.547126248864791,0.6344123558088735,0.7096891437053396,,66.1347730882132,2.191444686871164,14.141849688150682,,,,,,
delay,delay_g_1_6,турбулентный режим,late,direct,noisy,0.0,,,,,,,,,,,,,,,,
delay,delay_g_1_6,турбулентный режим,middle,direct,noisy,0.0,,,,,,,,,,,,,,,,
delay,delay_g_1_6,турбулентный режим,early,regression,noisy,0.25,,,,0.37992584029634185,0.20998732895443367,0.5853470500383533,0.23494840677634735,1.186688204252759,1.2289696569648325,0.22908907095370035,,,,,,
delay,delay_g_1_6,турбулентный режим,late,regression,noisy,0.0,,,,,,,,,,,,,,,,
delay,delay_g_1_6,турбулентный режим,middle,regression,noisy,0.0,,,,,,,,,,,,,,,,
mixed,mixed_q_1_5_gamma_0_5,"смешанная память, устойчивый",early,direct,clean,0.7931034482758621,,,,6.220443966683483e-11,8.781864124784988e-14,7.955858194463872e-13,,,,,9.746743026199837e-11,1.1302070390684094e-13,5.311584505562905e-12,1.8318129018477322e-10,1.4654943925052066e-13,1.1928791288084994e-12
mixed,mixed_q_1_5_gamma_0_5,"смешанная память, устойчивый",late,direct,clean,0.0,,,,,,,,,,,,,,,,
mixed,mixed_q_1_5_gamma_0_5,"смешанная память, устойчивый",middle,direct,clean,0.0,,,,,,,,,,,,,,,,
mixed,mixed_q_1_5_gamma_0_5,"смешанная память, устойчивый",early,regression,clean,1.0,,,,1.956956587519561e-11,1.1718404024918527e-13,6.02121130732769e-12,0.9999999999999999,,,,2.3392431510356932e-11,1.730837695390619e-13,5.876965580853266e-12,2.9354079352413485e-11,1.813271754969037e-13,9.031872472142766e-12
mixed,mixed_q_1_5_gamma_0_5,"смешанная память, устойчивый",late,regression,clean,0.0,,,,,,,,,,,,,,,,
mixed,mixed_q_1_5_gamma_0_5,"смешанная память, устойчивый",middle,regression,clean,0.847457627118644,,,,0.0021082402948916544,2.7795757243098684e-06,0.00022008553525074137,0.9994234298708397,,,,0.0037655285185036382,2.5683184465830067e-06,0.00029577243868783576,0.0031623604423375827,4.1693635862150025e-06,0.00033012830287568184
mixed,mixed_q_1_5_gamma_0_5,"смешанная память, устойчивый",early,direct,noisy,0.8275862068965517,,,,0.3462155058889995,0.2373512564944228,0.35963021116430405,,,,,78.28529002276112,1.2958673948683141,1.3214276478992835,0.6630506613031462,0.33889098929939654,0.5231116402147415
