start,end,model_name,valid,a,k,alpha,segment,model,case,regime,method,observation,R2,g,q,gamma
87,90,base,False,,,,middle,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
88,91,base,False,,,,middle,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
89,92,base,False,,,,middle,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
90,93,base,False,,,,middle,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
91,94,base,False,,,,middle,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
92,95,base,False,,,,middle,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
93,96,base,False,,,,middle,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
94,97,base,False,,,,middle,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
95,98,base,False,,,,middle,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
96,99,base,False,,,,middle,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
97,100,base,False,,,,middle,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
98,101,base,False,,,,middle,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
99,102,base,False,,,,middle,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
100,103,base,False,,,,middle,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
101,104,base,False,,,,middle,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
102,105,base,False,,,,middle,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
103,106,base,False,,,,middle,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
104,107,base,False,,,,middle,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
105,108,base,False,,,,middle,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
106,109,base,False,,,,middle,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
107,110,base,False,,,,middle,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
108,111,base,False,,,,middle,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
109,112,base,False,,,,middle,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
110,113,base,False,,,,middle,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
111,114,base,False,,,,middle,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
112,115,base,False,,,,middle,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
113,116,base,False,,,,middle,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
114,117,base,False,,,,middle,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
115,118,base,False,,,,middle,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
116,119,base,False,,,,middle,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
117,120,base,False,,,,middle,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
118,121,base,False,,,,late,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
119,122,base,False,,,,late,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
120,123,base,False,,,,late,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
121,124,base,False,,,,late,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
122,125,base,False,,,,late,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
123,126,base,False,,,,late,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
124,127,base,False,,,,late,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
125,128,base,False,,,,late,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
126,129,base,False,,,,late,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
127,130,base,False,,,,late,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
128,131,base,False,,,,late,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
129,132,base,False,,,,late,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
130,133,base,False,,,,late,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
131,134,base,False,,,,late,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
132,135,base,False,,,,late,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
133,136,base,False,,,,late,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
134,137,base,False,,,,late,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
135,138,base,False,,,,late,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
136,139,base,False,,,,late,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
137,140,base,False,,,,late,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
138,141,base,False,,,,late,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
139,142,base,False,,,,late,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
140,143,base,False,,,,late,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
141,144,base,False,,,,late,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
142,145,base,False,,,,late,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
143,146,base,False,,,,late,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
144,147,base,False,,,,late,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
145,148,base,False,,,,late,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
146,149,base,False,,,,late,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
147,150,base,False,,,,late,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
148,151,base,False,,,,late,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
149,152,base,False,,,,late,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
150,153,base,False,,,,late,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
151,154,base,False,,,,late,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
152,155,base,False,,,,late,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
153,156,base,False,,,,late,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
154,157,base,False,,,,late,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
155,158,base,False,,,,late,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
156,159,base,False,,,,late,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
157,160,base,False,,,,late,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
158,161,base,False,,,,late,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
159,162,base,False,,,,late,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
160,163,base,False,,,,late,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
161,164,base,False,,,,late,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
162,165,base,False,,,,late,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
163,166,base,False,,,,late,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
164,167,base,False,,,,late,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
165,168,base,False,,,,late,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
166,169,base,False,,,,late,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
167,170,base,False,,,,late,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
168,171,base,False,,,,late,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
169,172,base,False,,,,late,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
170,173,base,False,,,,late,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
171,174,base,False,,,,late,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
172,175,base,False,,,,late,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
173,176,base,False,,,,late,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
174,177,base,False,,,,late,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
175,178,base,False,,,,late,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
176,179,base,False,,,,late,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
177,180,base,False,,,,late,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
0,25,base,True,0.8000000000000005,0.9999999999999999,0.8000000000000004,early,base,base_a_0_8,устойчивое насыщение,regression,clean,1.0,,,
1,26,base,True,0.7999999999999998,1.0000000000000002,0.8,early,base,base_a_0_8,устойчивое насыщение,regression,clean,1.0,,,
