sector_2d,sector_label,interval,dominant_regime,dominant_interpretability,dominant_tool,best_spec,best_adj_r2,mean_b_sum,top_beta_mode,mean_loo_top_beta_consistency,mean_loo_sign_lag1_consistency
05,05 — Рыболовство в открытых районах Мирового океана и,2014-2022,oscillatory,interpretable,structural_m1_m2,M2_current_lag1,0.4559943091147186,-5.7786170141703814e-08,X_n,0.8611111111111112,0.5833333333333334
15,15 — Производство хлеба и мучных кондитерских изделий,2014-2022,monotone_growth,interpretable,structural_m1_m2,M1_current,0.2418030824223154,2.4290210761845497e-07,X_n,0.9166666666666666,0.41666666666666663
18,18 — Производство спецодежды,2014-2022,oscillatory,interpretable,structural_m1_m2,M2_current_lag1,0.5425259380279417,-5.55259078209573e-06,X_n,0.9166666666666666,0.6944444444444444
20,"20 — Производство клееной фанеры, древесных плит и па",2014-2022,shock_transition,interpretable,phase_trajectory,M1_lag1,-0.07658743863653017,2.1557635570866816e-06,Lag_1,0.8888888888888888,0.6666666666666666
21,"21 — Производство гофрированного картона, бумажной и ",2014-2022,monotone_growth,interpretable,structural_m1_m2,M1_lag1,0.15793175535919612,1.1763910221133111e-06,Lag_1,0.8333333333333333,0.5277777777777778
22,"22 — Полиграфическая деятельность, не включенная в др",2014-2022,oscillatory,interpretable,structural_m1_m2,M1_current,0.24764883260724146,-1.5329193747526257e-05,X_n,0.9444444444444444,0.5
24,24 — Производство прочих фармацевтических продуктов и,2014-2022,monotone_growth,collinearity_heavy,enter_beta_bsum,M3_lag1_lag2,0.2931776183585141,1.8270447365346774e-06,Lag_1,0.8888888888888888,0.6666666666666666
25,"25 — Производство пластмассовых плит, полос, труб и п",2014-2022,oscillatory,interpretable,structural_m1_m2,M1_current,-0.16512905633208508,2.1455399776260777e-06,X_n,0.8055555555555556,0.4444444444444444
26,26 — Производство изделий из бетона для использования,2014-2022,oscillatory,interpretable,structural_m1_m2,M1_lag1,0.304575416815105,-1.7725131760458638e-06,Lag_1,0.8055555555555556,0.6388888888888888
28,28 — Производство строительных металлических конструк,2014-2022,oscillatory,interpretable,structural_m1_m2,M1_lag1,0.06631911192990114,-4.143587208270847e-06,Lag_1,0.7777777777777778,0.5
29,29 — Производство машин и оборудования для изготовлен,2014-2022,monotone_growth,interpretable,structural_m1_m2,M1_lag1,0.3445835378791514,3.452859093996629e-06,Lag_1,0.8611111111111112,0.7222222222222222
31,"31 — Предоставление услуг по монтажу, ремонту и техни",2014-2022,monotone_growth,interpretable,structural_m1_m2,M1_lag1,0.48455372436786026,-8.557312730363727e-06,Lag_1,0.9722222222222222,0.75
36,36 — Производство мебели для офисов и предприятий тор,2014-2022,oscillatory,interpretable,structural_m1_m2,M2_current_lag1,0.2720298307107728,-3.3863054365489895e-06,X_n,0.8611111111111112,0.75
40,40 — Производство пара и горячей воды (тепловой энерг,2014-2022,oscillatory,interpretable,structural_m1_m2,M1_lag1,0.011760582165739941,-5.432316866686114e-07,X_n,0.8333333333333334,0.6111111111111112
41,41 — Распределение воды,2014-2022,plateau_like,low_dispersion,do_not_read_regression,M1_current,0.04900794421633303,4.973760005994236e-07,X_n,0.8333333333333334,0.5
45,45 — Строительство зданий и сооружений,2014-2022,collapse_like,low_dispersion,do_not_read_regression,M2_current_lag1,0.8395006284524688,3.964099570180788e-06,X_n,0.8333333333333334,0.6944444444444444
50,"50 — Оптовая торговля автомобильными деталями, узлами",2014-2022,oscillatory,interpretable,structural_m1_m2,M2_current_lag1,0.5529630720330273,1.9962998769307696e-06,X_n,0.8888888888888888,0.7222222222222222
51,51 — Прочая оптовая торговля,2014-2022,oscillatory,interpretable,structural_m1_m2,M1_current,0.42710761955923404,2.3913191524901393e-06,X_n,0.9166666666666666,0.4444444444444444
52,52 — Розничная торговля в неспециализированных магази,2014-2022,plateau_like,low_dispersion,do_not_read_regression,M3_lag1_lag2,0.6607433327374845,-4.572658140033144e-06,Lag_1,0.6944444444444444,0.6944444444444444
55,55 — Деятельность ресторанов,2014-2022,shock_transition,interpretable,phase_trajectory,M2_current_lag1,0.5370385950094104,-8.952393242845452e-06,X_n,0.8611111111111112,0.7222222222222222
60,60 — Деятельность автомобильного грузового неспециали,2014-2022,oscillatory,interpretable,structural_m1_m2,M2_current_lag1,0.4671862310676751,-2.715711032559656e-06,X_n,0.8888888888888888,0.5833333333333333
63,63 — Хранение и складирование зерна,2014-2022,oscillatory,interpretable,structural_m1_m2,M2_current_lag1,0.5710013295061345,-2.3732770307603494e-06,X_n,0.9722222222222222,0.6388888888888888
64,64 — Деятельность в области электросвязи,2014-2022,oscillatory,interpretable,structural_m1_m2,M2_current_lag1,0.6042743517370291,-1.28965272018876e-06,X_n,0.8611111111111112,0.5833333333333334
70,70 — Сдача внаем собственного нежилого недвижимого им,2014-2022,plateau_like,low_dispersion,do_not_read_regression,M1_lag1,0.3977241539331854,-2.31869852114904e-06,X_n,0.8055555555555556,0.5833333333333334
72,72 — Разработка программного обеспечения,2014-2022,oscillatory,interpretable,structural_m1_m2,M1_current,0.6632794951770931,-2.6199393910977035e-06,X_n,0.7777777777777778,0.3888888888888889
74,"74 — Деятельность в области архитектуры, инженерно те",2014-2022,oscillatory,interpretable,structural_m1_m2,M1_current,0.46412477732169954,-1.4396796865535955e-06,X_n,0.8888888888888888,0.5833333333333333
85,85 — Деятельность санаторно-курортных учреждений,2014-2022,shock_transition,interpretable,phase_trajectory,M2_current_lag1,0.6676229081301102,-1.8783676212830334e-07,X_n,1.0,0.5833333333333333
93,93 — Организация похорон и предоставление связанных с,2014-2022,shock_transition,interpretable,phase_trajectory,M1_current,0.25446123060741954,-3.195075478570151e-05,X_n,0.9722222222222222,0.5277777777777778
