sector_2d,sector_label,interval,start_year,end_year,n_years,years,regime_label,interpretability_label,tool_label,spec,n_obs,adj_r2,r2,top_beta,top_b,beta_x,beta_lag1,beta_lag2,b_x,b_lag1,b_lag2,b_sum,cond_scaled,mean_abs_corr,sign_x,sign_lag1,loo_runs,loo_top_beta_consistency,loo_sign_lag1_consistency
18,18 — Производство спецодежды,2014-2022,2014,2022,9,"2014,2015,2016,2017,2018,2019,2020,2021,2022",oscillatory,interpretable,structural_m1_m2,M1_lag1,7,0.4033045860628437,0.5027538217190364,Lag_1,Lag_1,,-0.709051353372262,,,-9.941356340319914e-06,,-9.941356340319914e-06,1.0,0.0,,-1.0,9,1.0,1.0
18,18 — Производство спецодежды,2014-2022,2014,2022,9,"2014,2015,2016,2017,2018,2019,2020,2021,2022",oscillatory,interpretable,structural_m1_m2,M2_current_lag1,7,0.5425259380279417,0.6950172920186278,X_n,X_n,-0.5625046087084551,-0.35670498327791755,,-9.133514349414921e-06,-5.001233451241809e-06,,-5.001233451241809e-06,2.086421112011694,0.6263884146715764,-1.0,-1.0,9,0.8888888888888888,0.7777777777777778
18,18 — Производство спецодежды,2014-2022,2014,2022,9,"2014,2015,2016,2017,2018,2019,2020,2021,2022",oscillatory,interpretable,structural_m1_m2,M3_lag1_lag2,6,0.10549922498857855,0.46329953499314713,Lag_1,Lag_1,,-0.872984026903822,0.43037212969942384,,-1.2422687755382644e-05,5.154914418561447e-06,-7.267773336821197e-06,2.149484929765914,0.6441461891814722,,-1.0,9,0.7777777777777778,1.0
20,"20 — Производство клееной фанеры, древесных плит и па",2014-2019,2014,2019,6,"2014,2015,2016,2017,2018,2019",monotone_growth,collinearity_heavy,enter_beta_bsum,M1_current,5,-0.3201197120163397,0.009910215987745108,X_n,X_n,0.09955006774354962,,,2.6588663926990037e-07,,,0.0,1.0,0.0,1.0,,6,1.0,0.0
20,"20 — Производство клееной фанеры, древесных плит и па",2014-2019,2014,2019,6,"2014,2015,2016,2017,2018,2019",monotone_growth,collinearity_heavy,enter_beta_bsum,M1_lag1,4,-0.2752258293282881,0.14984944711447468,Lag_1,Lag_1,,-0.38710392288696177,,,-2.0471976769139885e-06,,-2.0471976769139885e-06,1.0,0.0,,-1.0,0,,
20,"20 — Производство клееной фанеры, древесных плит и па",2014-2019,2014,2019,6,"2014,2015,2016,2017,2018,2019",monotone_growth,collinearity_heavy,enter_beta_bsum,M2_current_lag1,4,0.8833140201506396,0.9611046733835465,Lag_1,Lag_1,3.741389263882085,-4.0184588212166545,,8.994981529035624e-06,-2.1251604742769543e-05,,-2.1251604742769543e-05,8.1855979579773,0.9705899713203807,1.0,-1.0,0,,
20,"20 — Производство клееной фанеры, древесных плит и па",2014-2022,2014,2022,9,"2014,2015,2016,2017,2018,2019,2020,2021,2022",shock_transition,interpretable,phase_trajectory,M1_current,8,-0.16656075012794935,9.078560461484031e-05,X_n,X_n,-0.009528148016007286,,,-3.4409906692125105e-08,,,0.0,1.0,0.0,-1.0,,9,1.0,0.0
20,"20 — Производство клееной фанеры, древесных плит и па",2014-2022,2014,2022,9,"2014,2015,2016,2017,2018,2019,2020,2021,2022",shock_transition,interpretable,phase_trajectory,M1_lag1,7,-0.07658743863653017,0.10284380113622482,Lag_1,Lag_1,,0.3206926895584378,,,2.283332628453466e-06,,2.283332628453466e-06,1.0,0.0,,1.0,9,1.0,1.0
20,"20 — Производство клееной фанеры, древесных плит и па",2014-2022,2014,2022,9,"2014,2015,2016,2017,2018,2019,2020,2021,2022",shock_transition,interpretable,phase_trajectory,M2_current_lag1,7,-0.20136330896619992,0.19909112735586676,Lag_1,Lag_1,-0.3641979747142402,0.5114617608627564,,-1.360004126612488e-06,3.6416088199334776e-06,,3.6416088199334776e-06,1.788845606659528,0.5238059641984589,-1.0,1.0,9,0.8888888888888888,1.0
20,"20 — Производство клееной фанеры, древесных плит и па",2014-2022,2014,2022,9,"2014,2015,2016,2017,2018,2019,2020,2021,2022",shock_transition,interpretable,phase_trajectory,M3_lag1_lag2,6,-0.3320899069278809,0.20074605584327154,Lag_2,Lag_2,,-0.16523946564548253,0.5604222372475784,,-1.2810018888372139e-06,3.979114668796996e-06,2.6981127799597823e-06,2.703633397913775,0.759315499547602,,-1.0,9,0.6666666666666666,0.6666666666666666
