series_code,series_name,variant,window,start,end,regime_label,interpretability_label,reading_mode,R2_enter,top_beta_predictor,top_b_predictor,b_sum,selected,selected_count,beta_x,beta_lag1,b_x,b_lag1
05,Добыча угля,adj_unsmoothed,24,41,65,turbulent_informative,interpretable,phase_caution,0.30211576931192186,Lag_1,Lag_1,-0.004168319524381398,[],0.0,0.4622403581997416,-1.0651099151786454,0.0023934311170459247,-0.006072102649710502
05,Добыча угля,adj_unsmoothed,24,42,66,turbulent_informative,collinearity_heavy,beta_bsum_caution,0.2861439753441415,Lag_1,Lag_1,-0.0030713449176366426,[],0.0,0.2742213204655264,-0.7585116088956719,0.0012767790365247546,-0.00372911945197401
05,Добыча угля,adj_unsmoothed,24,43,67,turbulent_informative,collinearity_heavy,beta_bsum_caution,0.2923881873391081,Lag_1,Lag_1,-0.0029518955659285848,[],0.0,0.2213645462698882,-0.8346752896696389,0.0010492286872373997,-0.0038808176378112968
05,Добыча угля,adj_unsmoothed,24,44,68,turbulent_informative,collinearity_heavy,beta_bsum_caution,0.1998724191287815,Lag_1,Lag_1,-0.002478131785192058,[],0.0,0.30746741217489404,-0.8035902898156848,0.0014942512514795792,-0.003674173364386502
05,Добыча угля,adj_unsmoothed,24,45,69,turbulent_informative,low_dispersion,do_not_read,0.10523468515953505,Lag_1,Lag_1,-0.001756897547405334,[],0.0,0.18224648114649383,-0.5847053075871519,0.0007928964938294298,-0.0026216769221193486
05,Добыча угля,adj_unsmoothed,24,46,70,turbulent_informative,low_dispersion,do_not_read,0.1324027146640373,Lag_1,Lag_1,-0.0021313933421807474,[],0.0,0.23060913946647107,-0.6673745984163918,0.0009848871732734805,-0.0029515497822958457
05,Добыча угля,adj_unsmoothed,24,47,71,turbulent_informative,low_dispersion,do_not_read,0.11047615910243214,Lag_1,Lag_1,-0.0019788595021310554,[],0.0,0.2018182383878438,-0.622220062572544,0.0008420086761905514,-0.002629825119367538
05,Добыча угля,adj_unsmoothed,24,48,72,plateau_degenerate,plateau_degenerate,do_not_read,0.10687876271178753,Lag_1,Lag_1,-0.0019507963576200027,[],0.0,0.2128388633023937,-0.6633583019625446,0.0008753823321952245,-0.00276622592519912
05,Добыча угля,adj_unsmoothed,24,49,73,plateau_degenerate,plateau_degenerate,do_not_read,0.09072174419030388,Lag_1,Lag_1,-0.001834564832433837,[],0.0,0.2474169770914108,-0.6404104864481011,0.0010127420547590285,-0.002664949071909626
05,Добыча угля,adj_unsmoothed,24,50,74,turbulent_informative,low_dispersion,do_not_read,0.10864206699754775,Lag_1,Lag_1,-0.0014900519133483384,[],0.0,0.036774863951627546,-0.46432134341773906,0.0001623143149778719,-0.002126666724976664
05,Добыча угля,adj_unsmoothed,24,51,75,turbulent_informative,low_dispersion,do_not_read,0.09125652662512829,Lag_1,Lag_1,-0.0007300800440324867,[],0.0,-0.11593523468283973,-0.24151721064924958,-0.0005141764008494036,-0.0010687862914688267
05,Добыча угля,adj_unsmoothed,24,52,76,turbulent_informative,low_dispersion,do_not_read,0.10027143674178152,Lag_1,Lag_1,-0.0007739779451417736,[],0.0,-0.12609760762930042,-0.25053909880737485,-0.0005526277877390713,-0.001096829953163056
05,Добыча угля,adj_unsmoothed,24,53,77,turbulent_informative,low_dispersion,do_not_read,0.14269696628781292,X_n,X_n,-0.0005831026575058549,[],0.0,-0.2508555392166977,-0.20216779365865017,-0.001076533615090325,-0.0008583664190686356
05,Добыча угля,adj_unsmoothed,24,54,78,turbulent_informative,low_dispersion,do_not_read,0.15019254302076412,X_n,X_n,-0.0005455906257549551,[],0.0,-0.2683313372213214,-0.2088336806258418,-0.001224393690685523,-0.0009036537537511145
05,Добыча угля,adj_unsmoothed,24,55,79,turbulent_informative,low_dispersion,do_not_read,0.35914180557755004,Lag_1,Lag_1,-0.001116672992150319,[],0.0,-0.3131239595349464,-0.5207266216342308,-0.0014146215833327907,-0.002231713783821712
05,Добыча угля,adj_unsmoothed,24,56,80,turbulent_informative,low_dispersion,do_not_read,0.5956173923286848,X_n,X_n,0.0003194039872141727,['X_n'],1.0,-0.7896417477717002,-0.03513156735482509,-0.004260402896883685,-0.00015849889661072346
05,Добыча угля,adj_unsmoothed,24,57,81,turbulent_informative,interpretable,phase_caution,0.5236299020651337,X_n,X_n,0.0002876215846604344,['X_n'],1.0,-0.6929278656176836,-0.2313957794347719,-0.0057875706770782595,-0.0013105673187926937
05,Добыча угля,adj_unsmoothed,24,58,82,turbulent_informative,low_dispersion,do_not_read,0.24525372889960295,X_n,X_n,-0.0006263586980282027,[],0.0,-0.4344215284364475,-0.2748243010450905,-0.0036808814605462795,-0.001967421301348745
05,Добыча угля,adj_unsmoothed,24,59,83,turbulent_informative,low_dispersion,do_not_read,0.32375340106927697,X_n,X_n,-0.002574211545540641,[],0.0,-0.3813058203247949,-0.24893669202076507,-0.002867287281929803,-0.0021324118488408707
05,Добыча угля,adj_unsmoothed,24,60,84,plateau_degenerate,plateau_degenerate,do_not_read,0.49823129144310285,X_n,X_n,-0.0036764240086688245,['Lag_1'],1.0,-0.37247975980666026,-0.269692159832317,-0.003281362440300501,-0.002408997277075356
05,Добыча угля,adj_unsmoothed,24,61,85,plateau_degenerate,plateau_degenerate,do_not_read,0.5403523788376463,Lag_1,Lag_1,-0.007946890082471953,['Lag_1'],1.0,-0.26243891392747526,-0.4087744969152085,-0.0025096211605154673,-0.004030706105614569
05,Добыча угля,adj_unsmoothed,24,62,86,memory_like_growth,interpretable,memory_structure,0.45802166665153,Lag_2,Lag_2,-0.010211252295635697,['Lag_2'],1.0,-0.1146660093248177,-0.2660003700502544,-0.0009536688738099738,-0.0028606391802773355
05,Добыча угля,adj_unsmoothed,24,63,87,turbulent_informative,interpretable,phase_caution,0.4994709753395179,Lag_2,Lag_2,-0.010433596904791365,['Lag_2'],1.0,-0.10750475629096504,-0.3476501979788023,-0.0006233990175371702,-0.0029970115844266303
05,Добыча угля,adj_unsmoothed,24,64,88,turbulent_informative,interpretable,phase_caution,0.4229425898468656,Lag_2,Lag_2,-0.005772945036353484,['Lag_2'],1.0,-0.024631517507623074,-0.13580908416999993,-0.00012766901103292285,-0.0008042224831539572
05,Добыча угля,adj_unsmoothed,24,65,89,turbulent_informative,interpretable,phase_caution,0.14518194619956393,Lag_1,Lag_1,-0.0011189392655049529,[],0.0,0.5446400126153192,-0.7879022519490713,0.0029071916497564413,-0.0043733220797601505
05,Добыча угля,adj_unsmoothed,24,66,90,turbulent_informative,collinearity_heavy,beta_bsum_caution,0.26306279997837834,Lag_3,Lag_3,-0.0035138122283836087,[],0.0,-0.2072508478148672,-0.2308206915122944,-0.001234132947717878,-0.0015637375617919167
05,Добыча угля,adj_unsmoothed,24,67,91,turbulent_informative,interpretable,phase_caution,0.23706543967267257,X_n,Lag_3,-0.0017436405617521071,[],0.0,-0.3757561362619958,0.16106225047239936,-0.002230412024675326,0.000956833227150335
05,Добыча угля,adj_unsmoothed,24,68,92,turbulent_informative,interpretable,phase_caution,0.2365172352016185,Lag_3,Lag_3,-0.0015567767925389934,[],0.0,-0.3995187892101708,0.03377455096007009,-0.0023807851060745496,0.00020054915725713001
05,Добыча угля,adj_unsmoothed,24,69,93,turbulent_informative,interpretable,phase_caution,0.19365399680350692,X_n,X_n,-0.0011860618500959038,[],0.0,-0.3421968274562675,-0.0059854068175595465,-0.002045160320600966,-3.552580491928716e-05
05,Добыча угля,adj_unsmoothed,24,70,94,turbulent_informative,interpretable,phase_caution,0.16946893635243065,X_n,X_n,-0.0012646298370626947,[],0.0,-0.2921873702255207,-0.018090543572392842,-0.001724601497427441,-0.00010473538353691881
