series_code,series_name,variant,windows,interpretable_share,mean_r2,mean_b_sum,mean_selected_count,dominant_mode,dominant_top_beta,dominant_top_b
30.2,Производство железнодорожных,adj_unsmoothed,133,0.7819548872180451,0.39907056176438255,0.0036434288538488156,0.2556390977443609,phase_caution,X_n,X_n
35.2,Производство и распределение,adj_unsmoothed,133,0.7819548872180451,0.38054129803712294,-0.0007449457632994986,0.3609022556390977,phase_caution,X_n,X_n
13,Производство текстильных издели,adj_unsmoothed,133,0.7744360902255639,0.5845500705861293,0.0014671543884934015,0.9097744360902256,phase_caution,X_n,X_n
28,Производство машин и оборудован,adj_unsmoothed,133,0.7744360902255639,0.47524611518094945,0.0012374927265614059,0.6165413533834586,phase_caution,X_n,X_n
08,Добыча прочих полезных ископаем,adj_unsmoothed,133,0.7669172932330827,0.5053653994783932,-0.0007326773949060078,0.7368421052631579,phase_caution,X_n,X_n
12,Производство табачных изделий,adj_unsmoothed,133,0.7669172932330827,0.49149329488338434,-0.0014436911300582179,0.7443609022556391,phase_caution,X_n,X_n
09,Предоставление услуг в области,adj_unsmoothed,133,0.7669172932330827,0.30024111543258303,0.000348243211667305,0.24060150375939848,phase_caution,X_n,X_n
22.2,Производство изделий из пласт,adj_unsmoothed,133,0.7593984962406015,0.35165213575689497,0.0008280717693438214,0.22556390977443608,phase_caution,X_n,X_n
14,Производство одежды,adj_unsmoothed,133,0.7443609022556391,0.4564140477623182,0.0007149589525747934,0.46616541353383456,phase_caution,X_n,X_n
33,Ремонт и монтаж машин и оборудо,adj_unsmoothed,133,0.7368421052631579,0.5275458557997339,0.00013999685818065765,0.7593984962406015,phase_caution,X_n,X_n
29,Производство автотранспортных с,adj_unsmoothed,133,0.7368421052631579,0.43104889511671074,0.004326654697628654,0.3233082706766917,phase_caution,X_n,X_n
E,"Водоснабжение, водоотведение...",adj_unsmoothed,133,0.7368421052631579,0.29841459709348256,-0.0002179744933490267,0.12781954887218044,phase_caution,X_n,X_n
23,Производство прочей неметалличе,adj_unsmoothed,133,0.7293233082706767,0.3245516113878161,0.00011742316028559094,0.3609022556390977,phase_caution,X_n,X_n
24,Производство металлургическое,adj_unsmoothed,133,0.7218045112781954,0.4245944737544167,0.0006988465429587079,0.5488721804511278,phase_caution,X_n,X_n
32.1,Производство ювелирных издели,adj_unsmoothed,133,0.7142857142857143,0.4153294084343227,0.0015350925697292183,0.3308270676691729,phase_caution,X_n,X_n
25,Производство готовых металличес,adj_unsmoothed,133,0.7142857142857143,0.39062104541367576,-0.0006264685430535099,0.21052631578947367,phase_caution,X_n,X_n
07.2,Добыча руд цветных металлов,adj_unsmoothed,133,0.706766917293233,0.42364638377437347,0.0012884150634377757,0.45112781954887216,phase_caution,X_n,X_n
D,Обеспечение электрической энерги,adj_unsmoothed,133,0.6992481203007519,0.41929681474618474,-0.002126279426940378,0.5263157894736842,phase_caution,X_n,X_n
38,"Сбор, обработка и утилизация от",adj_unsmoothed,133,0.6992481203007519,0.2773573233122318,-0.00017714932681558477,0.11278195488721804,phase_caution,X_n,X_n
08.9,"Добыча полезных ископаемых, н",adj_unsmoothed,133,0.6917293233082706,0.5912534747236126,-0.0012977892389127038,0.8796992481203008,phase_caution,X_n,X_n
"35.1+35.3 Производство, передача и","35.1+35.3 Производство, передача и",adj_unsmoothed,133,0.6842105263157895,0.41928604141723347,-0.0021399871665784393,0.5639097744360902,phase_caution,X_n,X_n
20,Производство химических продукт,adj_unsmoothed,133,0.631578947368421,0.3715239625794681,0.0018837452253278968,0.21804511278195488,phase_caution,X_n,X_n
37,Сбор и обработка сточных вод,adj_unsmoothed,133,0.6165413533834586,0.30451614834348695,-0.0008160908444186737,0.12781954887218044,phase_caution,X_n,X_n
10,Производство пищевых продуктов,adj_unsmoothed,133,0.556390977443609,0.5499577374160609,0.003870042762527646,0.6691729323308271,phase_caution,X_n,X_n
17,Производство бумаги и бумажных,adj_unsmoothed,133,0.5413533834586466,0.3084958694533249,0.0016511806831883845,0.10526315789473684,phase_caution,X_n,X_n
19,Производство кокса и нефтепроду,adj_unsmoothed,133,0.45112781954887216,0.377281556453419,-0.00019061115143358045,0.3157894736842105,phase_caution,X_n,X_n
C,Обрабатывающие производства,adj_unsmoothed,133,0.39097744360902253,0.4055221326263903,0.002420450633686461,0.18045112781954886,do_not_read,X_n,X_n
B,Добыча полезных ископаемых,adj_unsmoothed,133,0.23308270676691728,0.32313938846874546,0.000317730755086135,0.3082706766917293,do_not_read,X_n,X_n
06,Добыча сырой нефти и природного,adj_unsmoothed,133,0.23308270676691728,0.2953838675956316,0.0013946079758456896,0.12781954887218044,do_not_read,X_n,X_n
06.1,Добыча сырой нефти и нефтяног,adj_unsmoothed,133,0.23308270676691728,0.2953838675956316,0.0013946079758456896,0.12781954887218044,do_not_read,X_n,X_n
07.1,Добыча и обогащение железных,adj_unsmoothed,133,0.21052631578947367,0.44021791816586264,0.0012748642869611145,0.6015037593984962,do_not_read,X_n,X_n
07,Добыча металлических руд,adj_unsmoothed,133,0.14285714285714285,0.393300644424515,0.0026380689239560596,0.38345864661654133,do_not_read,X_n,X_n
36,"Забор, очистка и распределдение",adj_unsmoothed,133,0.14285714285714285,0.38744527458053163,0.0010668579658971963,0.3157894736842105,do_not_read,X_n,X_n
ПРОМ,Промышленность - всего,adj_unsmoothed,133,0.12781954887218044,0.34305608607092364,0.0009391255663651579,0.19548872180451127,do_not_read,X_n,X_n
