model,case,regime,start,end,stage,var_x,var_omega,mean_x,mean_omega,cond_raw,cond_scaled,max_vif,mean_vif,infinite_vif_share,selected_count,false_lag_count,false_lag_rate,hit_rate,no_model,degenerate_window,failure_type,degraded_window,R2_enter,pairwise_b,pairwise_beta,correct_top_b,correct_top_beta,true_beta_mass_share,true_b_mass_share,beta_scale_gap,log10_var_x,log10_var_omega,log10_cond_raw,log10_cond_scaled,var_omega_band,cond_scaled_band
delay,delay_g_0_8,затухающие колебания,143,168,late,1.3280439159487345e-15,9.202043616124434e-16,1.0000000046910795,-5.33798130495633e-09,2.0695255541859302e+17,9695969402.864885,,,1.0,1.0,0.0,0.0,1.0,0,1,low_dispersion,1,0.9981360208819459,0.5,0.8,0.0,0.0,0.1476451180085164,0.04761373238369809,0.6053564280260947,-12.0,-12.0,17.315870793371918,9.986591236340784,Q1,Q3
delay,delay_g_0_8,затухающие колебания,144,169,late,8.589344050038206e-16,8.49948105826236e-16,0.9999999993530974,-3.752863626286574e-09,2.050628354943999e+17,8661097742.282637,,,1.0,1.0,0.0,0.0,1.0,0,1,low_dispersion,1,0.9999698539448931,0.6,0.9,0.0,0.0,0.17710183177902822,0.09312791095575615,0.3732733782863678,-12.0,-12.0,17.311886958261045,9.937572939731254,Q1,Q3
delay,delay_g_0_8,затухающие колебания,145,170,late,6.954633645177812e-16,5.497180187544228e-16,0.9999999956002333,5.17521992084289e-10,2.6054588853055437e+17,12444832979.712612,,,1.0,1.0,0.0,0.0,1.0,0,1,low_dispersion,1,0.999787266632803,0.6,0.7,0.0,0.0,0.1075569198797648,0.07542983986847192,0.3626354097868898,-12.0,-12.0,17.41588422429771,10.094989072380857,Q1,Q3
delay,delay_g_0_8,затухающие колебания,146,171,late,6.816216562806582e-16,4.450965527647072e-16,0.9999999961177551,3.519813301582613e-09,2.3015881526075587e+17,6131722704.500142,,,1.0,10.0,9.0,0.9,1.0,0,1,low_dispersion,1,0.999937080875484,0.5,0.1,0.0,0.0,0.012722665832694697,0.07097990040316253,0.29087184544517763,-12.0,-12.0,17.362027613363324,9.787582506484284,Q1,Q3
delay,delay_g_0_8,затухающие колебания,147,172,late,4.648245997380217e-16,4.362378594841891e-16,0.9999999996375681,3.105795934069876e-09,2.6520619022484304e+17,6491466861.132643,,,1.0,1.0,0.0,0.0,1.0,0,1,low_dispersion,1,0.9999999999999998,0.5,0.1,0.0,0.0,0.020201572067465066,0.07878561751179777,0.3529148142750621,-12.0,-12.0,17.423583656795767,9.812342844367999,Q1,Q3
delay,delay_g_0_8,затухающие колебания,148,173,late,3.3998268985631117e-16,2.9748774310411574e-16,1.0000000027433638,2.899455635145738e-10,2.464685666723114e+17,5472695845.310844,,,1.0,1.0,0.0,0.0,1.0,0,1,low_dispersion,1,0.9999999999999997,0.5,0.4,0.0,0.0,0.05926165179926813,0.07878561781891996,0.48544697286572164,-12.0,-12.0,17.391761539470306,9.738201312134152,Q1,Q3
delay,delay_g_0_8,затухающие колебания,149,174,late,3.426148842874558e-16,2.1758892110283861e-16,1.0000000030333092,-2.1946909506842805e-09,3.1684832041072454e+17,7219841388.490767,,,1.0,1.0,0.0,0.0,1.0,0,1,low_dispersion,1,0.9999999999999994,0.5,0.7,0.0,0.0,0.09853047683365151,0.07878561899743668,0.6930023340733114,-12.0,-12.0,17.500851409304758,9.858527656730322,Q1,Q3
delay,delay_g_0_8,затухающие колебания,150,175,late,2.5211594297452713e-16,2.1927352551359237e-16,1.0000000008386178,-2.4266472777250804e-09,3.295857496162068e+17,8069397542.437742,,,1.0,1.0,0.0,0.0,1.0,0,1,low_dispersion,1,0.9999999999999999,0.5,0.6,0.0,0.0,0.10532840434205462,0.07878561958124951,0.23678949154430853,-12.0,-12.0,17.517968425728842,9.906841111703267,Q1,Q3
delay,delay_g_0_8,затухающие колебания,151,176,late,1.696759452039045e-16,1.6135420346727975e-16,0.9999999984119706,-6.708943949532358e-10,4.620622260634395e+17,7312832760.959671,,,1.0,1.0,0.0,0.0,1.0,0,1,low_dispersion,1,0.9999999999999999,0.5,0.2,0.0,0.0,0.03761192221139156,0.07878561896141265,0.41083224467259066,-12.0,-12.0,17.664700466067394,9.864085641546376,Q1,Q3
delay,delay_g_0_8,затухающие колебания,152,177,late,1.6901546024636337e-16,1.0859260484705776e-16,0.9999999977410761,1.270423554505219e-09,6.445705099796411e+17,8589499933.73284,,,1.0,11.0,10.0,0.9090909090909091,1.0,0,1,low_dispersion,1,0.9999999999999998,0.5,0.1,0.0,0.0,0.014358179671842712,0.07878561861084216,0.7730579273616176,-12.0,-12.0,17.809270432038733,9.93396788067151,Q1,Q3
delay,delay_g_0_8,затухающие колебания,153,178,late,1.3573830208271122e-16,1.0816989448384884e-16,0.9999999990114995,1.8071391297652824e-09,4.854664642593986e+17,11238775365.831741,,,1.0,1.0,0.0,0.0,1.0,0,1,low_dispersion,1,0.9999999999999999,0.5,0.1,0.0,0.0,0.053187896157799876,0.07878561810683558,0.27696770206270105,-12.0,-12.0,17.68615923447033,10.05071899087386,Q1,Q3
delay,delay_g_0_8,затухающие колебания,154,179,late,8.69792697710236e-17,8.687251305255702e-17,1.0000000008186385,7.90800335502241e-10,4.9944456483985376e+17,3965880647.3883047,,,1.0,1.0,0.0,0.0,1.0,0,1,low_dispersion,1,0.9999999999999999,0.5,0.1,0.0,0.0,0.014921148200135244,0.0787856187140924,0.5798592499159557,-12.0,-12.0,17.698487291320358,9.598339640035542,Q1,Q3
delay,delay_g_1_25,усиленный цикл,0,25,early,0.3564975797770758,0.5514167801588181,0.7720392256756149,0.28149425205471357,12785.285485925559,7990.620322781137,8231631.075845238,1563119.65818601,0.0,2.0,1.0,0.5,1.0,0,0,collinearity,1,1.0,1.0,1.0,1.0,1.0,0.999999999998614,0.999999999996289,0.022727272727567815,-0.4479434141796579,-0.25852002201788443,4.106710429943729,3.902580495497161,Q4,Q3
delay,delay_g_1_25,усиленный цикл,1,26,early,0.37652870546747996,0.557027468401681,0.7545942761351626,0.28495096790548124,28.385342625527997,15.344705186585575,18.701271649719022,14.335199153268944,0.0,2.0,1.0,0.5,1.0,0,0,collinearity,1,1.0,1.0,1.0,1.0,1.0,0.9999999999999936,0.9999999999999941,0.022727272727273262,-0.42420190883670683,-0.25412338816354496,1.453094140748436,1.185958548872825,Q4,Q4
delay,delay_g_1_25,усиленный цикл,2,27,early,0.4011693877440094,0.5883261022929375,0.7187048254781415,0.30675715483104665,28.653382849344965,16.12211605769369,20.065334167179557,15.320770795906684,0.0,2.0,1.0,0.5,1.0,0,0,collinearity,1,1.0,1.0,1.0,1.0,1.0,0.9999999999999982,0.9999999999999932,0.022727272727273384,-0.39667221433827643,-0.230381882820594,1.4571759026062128,1.2074220431680422,Q4,Q4
delay,delay_g_1_25,усиленный цикл,3,28,early,0.3926569335318096,0.6268271683500146,0.6550188569295307,0.351618968152323,28.626064894990236,26.799132910351734,59.90214188271673,26.59998089703614,0.0,1.0,0.0,0.0,1.0,0,0,stable,0,1.0,1.0,1.0,1.0,1.0,0.9999999999999933,0.9999999999999959,0.022727272727273148,-0.4059867293767699,-0.20285218832216365,1.4567616514847417,1.4281207425981353,Q4,Q4
delay,delay_g_1_25,усиленный цикл,4,29,early,0.30365889055293394,0.6135264586434525,0.5768521605689375,0.4312264288380866,30.2141757990065,548.9412228051834,9190.18756488682,6074.586528636702,0.0,1.0,0.0,0.0,1.0,0,0,stable,0,1.0,1.0,1.0,1.0,1.0,0.9999999999999725,0.9999999999999506,0.022727272727274848,-0.5176139990414782,-0.2121667033606571,1.4802107517923009,2.7395258454010265,Q4,Q4
delay,delay_g_1_25,усиленный цикл,5,30,early,0.29306248556098646,0.4744670164889592,0.5689715261842123,0.5289347992888281,575.4872982041428,3105.2482414605097,638362.9507538953,180959.9646534509,0.0,1.0,0.0,0.0,1.0,0,0,stable,0,1.0,1.0,1.0,1.0,1.0,0.9999999999999098,0.9999999999998964,0.02272727272727831,-0.5330397713145045,-0.32379397302536544,2.7600357425953033,3.492096324508433,Q4,Q4
delay,delay_g_1_25,усиленный цикл,6,31,early,0.36067544078631936,0.4579101336890413,0.6845837120928486,0.5387855922697347,1336.2649652752648,6744.134321463269,3177634.0795444557,768483.7932683192,0.0,1.0,0.0,0.0,1.0,0,0,stable,0,1.0,1.0,1.0,1.0,1.0,0.9999999999987828,0.9999999999994049,0.02272727272731563,-0.44288342877702624,-0.3392197452983917,3.1258925820522494,3.828926211452002,Q4,Q3
delay,delay_g_1_25,усиленный цикл,7,32,early,0.3542587530829649,0.5635553762286242,0.7738128519815086,0.3942703598839392,667.743382956321,4629.479165938852,1683051.5223457417,342493.06122469954,0.0,1.0,0.0,0.0,1.0,0,0,stable,0,1.0,1.0,1.0,1.0,1.0,0.9999999999997566,0.9999999999998842,0.022727272727292833,-0.4506794103291459,-0.24906340276091327,2.824609593047143,3.6655321339807636,Q4,Q4
delay,delay_g_1_25,усиленный цикл,8,33,early,0.35674964623656397,0.5535293016921327,0.7718711731650004,0.28273393502311445,794.461611760547,2705.0058640838897,602596.8867980774,125599.41518588574,0.0,1.0,0.0,0.0,1.0,0,0,stable,0,1.0,1.0,1.0,1.0,1.0,0.9999999999996483,0.9999999999992978,0.022727272727323614,-0.44763644887227644,-0.256859384313033,2.9000729170206205,3.43216821093483,Q4,Q4
delay,delay_g_1_25,усиленный цикл,9,34,early,0.37654860646830784,0.5574213222446313,0.7545274799414806,0.28516103354374944,570.0594291876833,310.26114261959225,6136.602633808715,4100.053045988066,0.0,1.0,0.0,0.0,1.0,0,0,stable,0,1.0,1.0,1.0,1.0,1.0,0.9999999999999629,0.9999999999999613,0.022727272727274758,-0.4241789552973851,-0.25381642285616357,2.7559201336073733,2.4917273875641777,Q4,Q4
delay,delay_g_1_25,усиленный цикл,10,35,early,0.4006443784358322,0.5883571976067311,0.7188201961983438,0.3068406500731494,538.8210129881415,314.5235378959962,6627.907443576795,4143.23009384598,0.0,1.0,0.0,0.0,1.0,0,0,stable,0,1.0,1.0,1.0,1.0,1.0,0.9999999999999647,0.999999999999924,0.022727272727279115,-0.39724094659928627,-0.2303589292812722,2.73144452403471,2.4976531521527754,Q4,Q4
