model,case,regime_family,start,end,true_label,predicted_label,true_tool,recommended_tool,true_regression_admissible,predicted_regression_admissible,mean_x,std_x,rel_range,omega_std,turning_rate,unique_ratio,lag1_autocorr,lag2_autocorr,dominant_period,dominant_acf,corr_omega_x,corr_omega_lag1,start_mean,end_mean,max_x,collapse_ratio,growth_ratio,selected,no_model,b_sum,R2_enter,selected_count,hit_rate,false_lag_count,false_lag_rate
base,base_a_2_8,chaotic_informative,32,57,chaotic_informative,chaotic_informative,phase_analysis,phase_analysis,0,0,0.852050734341098,0.3467311884372925,1.2256556707560342,0.9786979831067921,0.8260869565217391,1.0,-0.6021102637939323,0.09219212163385312,8.0,0.3623412276629205,-1.0,0.5903495408649545,0.9219580079449674,0.8806573137453699,1.2892855753141141,0.6830583779166316,0.9552032805792791,['X_n'],0,1.7930101847696278e-14,1.0,1.0,1.0,0.0,0.0
base,base_a_2_8,chaotic_informative,33,58,chaotic_informative,chaotic_informative,phase_analysis,phase_analysis,0,0,0.8683964719024158,0.3560846140611575,1.202585280003721,0.9908627223122105,0.8260869565217391,1.0,-0.6266619149212714,0.13501774217329507,8.0,0.3354671850500371,-1.0,0.6144443146971772,0.8454553570948471,0.9416242230239147,1.2892855753141141,0.7303457364707604,1.1137480117927492,['X_n'],0,-1.0880185641326534e-14,1.0,1.0,1.0,0.0,0.0
base,base_a_2_8,chaotic_informative,34,59,chaotic_informative,chaotic_informative,phase_analysis,phase_analysis,0,0,0.8333622758349692,0.36470236581933524,1.2531414543221018,0.9990245634098535,0.8260869565217391,1.0,-0.6381256725907997,0.13545456651219023,8.0,0.2640462939566924,-0.9999999999999999,0.6114861002612286,0.7907913090697372,0.824453998418161,1.2892855753141141,0.6394657740720443,1.0425683602770288,['X_n'],0,-2.6867397195928788e-14,1.0,1.0,1.0,0.0,0.0
base,base_a_2_8,chaotic_informative,35,60,chaotic_informative,chaotic_informative,phase_analysis,phase_analysis,0,0,0.8497752525995164,0.3597696948476569,1.2289376645440855,1.0268425702795207,0.8260869565217391,1.0,-0.6115396461704542,0.10791838252906458,8.0,0.29849840800587835,-0.9999999999999997,0.6227725686682194,0.8835235924813638,0.8995254037701941,1.2892855753141141,0.6976929091532253,1.0181113570990101,['X_n'],0,6.078471059822732e-15,1.0,1.0,1.0,0.0,0.0
base,base_a_2_8,chaotic_informative,36,61,chaotic_informative,chaotic_informative,phase_analysis,phase_analysis,0,0,0.8447997627463879,0.35537353806599686,1.236175553508671,1.0045050975623973,0.782608695652174,1.0,-0.5764465676718707,0.024764722702372528,8.0,0.3788635078720962,-1.0,0.592008316799138,0.7693294945025069,0.9167578531400373,1.2892855753141141,0.711058799301841,1.1916322715962764,['X_n'],0,2.6367796834847468e-15,1.0,1.0,1.0,0.0,0.0
base,base_a_2_8,chaotic_informative,37,62,chaotic_informative,chaotic_informative,phase_analysis,phase_analysis,0,0,0.8583035244933602,0.3464930573250886,1.2167266992564805,0.9893741686914943,0.782608695652174,1.0,-0.5597827557072622,0.0004063503375875818,8.0,0.4021349635403406,-0.9999999999999999,0.5609433996741506,0.8269282244548865,0.8826416430248947,1.2892855753141141,0.6845974700444879,1.0673739472452215,['X_n'],0,-6.716849298982197e-15,1.0,1.0,1.0,0.0,0.0
base,base_a_2_8,chaotic_informative,38,63,chaotic_informative,chaotic_informative,phase_analysis,phase_analysis,0,0,0.8626747320645771,0.3507519148582098,1.2105614961246314,0.9759099242034961,0.782608695652174,1.0,-0.5466764218256152,-0.009323968146788516,8.0,0.3691173612150051,-0.9999999999999996,0.5535608597736748,0.8257045236332281,0.9299186408942374,1.2892855753141141,0.7212666136186914,1.1262123608121353,['X_n'],0,-1.3905543383430086e-14,1.0,1.0,1.0,0.0,0.0
base,base_a_2_8,chaotic_informative,39,64,chaotic_informative,chaotic_informative,phase_analysis,phase_analysis,0,0,0.8499071043110991,0.3628148804381249,1.2287470113142482,0.9966013459870675,0.782608695652174,1.0,-0.5689184206935135,-0.03615277350645131,5.0,0.3690135966125926,-1.0,0.5412741754801278,0.8288707900326091,0.8274303072418847,1.2892855753141141,0.6417742686993875,0.9982621141822747,"['X_n', 'Lag_6']",0,3.1363800445660672e-15,1.0,2.0,1.0,1.0,0.5
base,base_a_2_8,chaotic_informative,40,65,chaotic_informative,chaotic_informative,phase_analysis,phase_analysis,0,0,0.8385121707899134,0.3531820051627001,1.2432648272420952,1.0046513873786804,0.782608695652174,1.0,-0.5339394104109422,-0.0003467753469927818,5.0,0.38545309699396973,-1.0,0.5324538485718189,0.8286422743876722,0.8796499968475152,1.28745745015462,0.6832458787215622,1.0615557811089655,['X_n'],0,-2.5923707624997405e-14,1.0,1.0,1.0,0.0,0.0
base,base_a_2_8,chaotic_informative,41,66,chaotic_informative,chaotic_informative,phase_analysis,phase_analysis,0,0,0.8683937188677073,0.3327086771020708,1.1932949740843402,0.9480561471684547,0.8260869565217391,1.0,-0.5813125304119199,0.06882680252616236,5.0,0.5073807660459759,-1.0,0.5915170444941558,0.8294226280009562,0.845446753861383,1.28745745015462,0.6566793751202008,1.019319615018278,['X_n'],0,-2.3869795029440866e-14,1.0,1.0,1.0,0.0,0.0
