model,case,regime,start,stage,rho,retained_components,explained_variance_share,validation_r2,validation_mae,true_mass_share,support_90,pairwise_score,false_lag_rate,component_dominance
base,base_a_2_2,затухающие колебания,22,early,0.8,1.0,0.9999999999999942,0.9999999999999998,5.345053677441314e-09,0.09090909090909126,10.0,0.9,0.9090909090909091,0.09090909090909127
base,base_a_2_2,затухающие колебания,22,early,0.9,1.0,0.9999999999999942,0.9999999999999998,5.345053677441314e-09,0.09090909090909126,10.0,0.9,0.9090909090909091,0.09090909090909127
base,base_a_2_2,затухающие колебания,22,early,0.95,1.0,0.9999999999999942,0.9999999999999998,5.345053677441314e-09,0.09090909090909126,10.0,0.9,0.9090909090909091,0.09090909090909127
base,base_a_2_2,затухающие колебания,22,early,0.99,1.0,0.9999999999999942,0.9999999999999998,5.345053677441314e-09,0.09090909090909126,10.0,0.9,0.9090909090909091,0.09090909090909127
base,base_a_2_2,затухающие колебания,23,early,0.8,1.0,0.9999999999999997,1.0,2.1135490209841143e-09,0.09090909090909088,10.0,0.2,0.9090909090909091,0.09090909090909095
base,base_a_2_2,затухающие колебания,23,early,0.9,1.0,0.9999999999999997,1.0,2.1135490209841143e-09,0.09090909090909088,10.0,0.2,0.9090909090909091,0.09090909090909095
base,base_a_2_2,затухающие колебания,23,early,0.95,1.0,0.9999999999999997,1.0,2.1135490209841143e-09,0.09090909090909088,10.0,0.2,0.9090909090909091,0.09090909090909095
base,base_a_2_2,затухающие колебания,23,early,0.99,1.0,0.9999999999999997,1.0,2.1135490209841143e-09,0.09090909090909088,10.0,0.2,0.9090909090909091,0.09090909090909095
base,base_a_2_2,затухающие колебания,24,early,0.8,1.0,0.9999999999999999,1.0,8.552107170582227e-10,0.09090909090909091,10.0,0.2,0.9090909090909091,0.09090909090909094
base,base_a_2_2,затухающие колебания,24,early,0.9,1.0,0.9999999999999999,1.0,8.552107170582227e-10,0.09090909090909091,10.0,0.2,0.9090909090909091,0.09090909090909094
base,base_a_2_2,затухающие колебания,24,early,0.95,1.0,0.9999999999999999,1.0,8.552107170582227e-10,0.09090909090909091,10.0,0.2,0.9090909090909091,0.09090909090909094
base,base_a_2_2,затухающие колебания,24,early,0.99,1.0,0.9999999999999999,1.0,8.552107170582227e-10,0.09090909090909091,10.0,0.2,0.9090909090909091,0.09090909090909094
base,base_a_2_2,затухающие колебания,25,early,0.8,1.0,1.0,1.0,3.3816816014109463e-10,0.09090909090909091,10.0,0.6,0.9090909090909091,0.09090909090909094
base,base_a_2_2,затухающие колебания,25,early,0.9,1.0,1.0,1.0,3.3816816014109463e-10,0.09090909090909091,10.0,0.6,0.9090909090909091,0.09090909090909094
base,base_a_2_2,затухающие колебания,25,early,0.95,1.0,1.0,1.0,3.3816816014109463e-10,0.09090909090909091,10.0,0.6,0.9090909090909091,0.09090909090909094
base,base_a_2_2,затухающие колебания,25,early,0.99,1.0,1.0,1.0,3.3816816014109463e-10,0.09090909090909091,10.0,0.6,0.9090909090909091,0.09090909090909094
base,base_a_2_2,затухающие колебания,26,early,0.8,1.0,1.0,1.0,1.3683376653972346e-10,0.09090909090909088,10.0,0.0,0.9090909090909091,0.09090909090909094
base,base_a_2_2,затухающие колебания,26,early,0.9,1.0,1.0,1.0,1.3683376653972346e-10,0.09090909090909088,10.0,0.0,0.9090909090909091,0.09090909090909094
base,base_a_2_2,затухающие колебания,26,early,0.95,1.0,1.0,1.0,1.3683376653972346e-10,0.09090909090909088,10.0,0.0,0.9090909090909091,0.09090909090909094
base,base_a_2_2,затухающие колебания,26,early,0.99,1.0,1.0,1.0,1.3683376653972346e-10,0.09090909090909088,10.0,0.0,0.9090909090909091,0.09090909090909094
base,base_a_2_2,затухающие колебания,27,early,0.8,1.0,1.0,1.0,5.410692264599485e-11,0.09090909090909091,10.0,0.2,0.9090909090909091,0.09090909090909094
base,base_a_2_2,затухающие колебания,27,early,0.9,1.0,1.0,1.0,5.410692264599485e-11,0.09090909090909091,10.0,0.2,0.9090909090909091,0.09090909090909094
base,base_a_2_2,затухающие колебания,27,early,0.95,1.0,1.0,1.0,5.410692264599485e-11,0.09090909090909091,10.0,0.2,0.9090909090909091,0.09090909090909094
base,base_a_2_2,затухающие колебания,27,early,0.99,1.0,1.0,1.0,5.410692264599485e-11,0.09090909090909091,10.0,0.2,0.9090909090909091,0.09090909090909094
base,base_a_2_2,затухающие колебания,28,early,0.8,1.0,1.0,1.0,2.18935055270227e-11,0.09090909090909091,10.0,0.0,0.9090909090909091,0.09090909090909094
base,base_a_2_2,затухающие колебания,28,early,0.9,1.0,1.0,1.0,2.18935055270227e-11,0.09090909090909091,10.0,0.0,0.9090909090909091,0.09090909090909094
base,base_a_2_2,затухающие колебания,28,early,0.95,1.0,1.0,1.0,2.18935055270227e-11,0.09090909090909091,10.0,0.0,0.9090909090909091,0.09090909090909094
base,base_a_2_2,затухающие колебания,28,early,0.99,1.0,1.0,1.0,2.18935055270227e-11,0.09090909090909091,10.0,0.0,0.9090909090909091,0.09090909090909094
base,base_a_2_2,затухающие колебания,29,early,0.8,1.0,1.0,1.0,8.65701954566589e-12,0.09090909090909087,10.0,0.0,0.9090909090909091,0.0909090909090909
base,base_a_2_2,затухающие колебания,29,early,0.9,1.0,1.0,1.0,8.65701954566589e-12,0.09090909090909087,10.0,0.0,0.9090909090909091,0.0909090909090909
base,base_a_2_2,затухающие колебания,29,early,0.95,1.0,1.0,1.0,8.65701954566589e-12,0.09090909090909087,10.0,0.0,0.9090909090909091,0.0909090909090909
base,base_a_2_2,затухающие колебания,29,early,0.99,1.0,1.0,1.0,8.65701954566589e-12,0.09090909090909087,10.0,0.0,0.9090909090909091,0.0909090909090909
base,base_a_2_2,затухающие колебания,30,early,0.8,1.0,1.0,1.0,3.5028646649948314e-12,0.09090909090909087,10.0,0.0,0.9090909090909091,0.09090909090909094
base,base_a_2_2,затухающие колебания,30,early,0.9,1.0,1.0,1.0,3.5028646649948314e-12,0.09090909090909087,10.0,0.0,0.9090909090909091,0.09090909090909094
base,base_a_2_2,затухающие колебания,30,early,0.95,1.0,1.0,1.0,3.5028646649948314e-12,0.09090909090909087,10.0,0.0,0.9090909090909091,0.09090909090909094
base,base_a_2_2,затухающие колебания,30,early,0.99,1.0,1.0,1.0,3.5028646649948314e-12,0.09090909090909087,10.0,0.0,0.9090909090909091,0.09090909090909094
base,base_a_2_2,затухающие колебания,31,early,0.8,1.0,1.0,1.0,1.385058734371114e-12,0.09090909090909086,10.0,0.0,0.9090909090909091,0.09090909090909094
base,base_a_2_2,затухающие колебания,31,early,0.9,1.0,1.0,1.0,1.385058734371114e-12,0.09090909090909086,10.0,0.0,0.9090909090909091,0.09090909090909094
base,base_a_2_2,затухающие колебания,31,early,0.95,1.0,1.0,1.0,1.385058734371114e-12,0.09090909090909086,10.0,0.0,0.9090909090909091,0.09090909090909094
base,base_a_2_2,затухающие колебания,31,early,0.99,1.0,1.0,1.0,1.385058734371114e-12,0.09090909090909086,10.0,0.0,0.9090909090909091,0.09090909090909094
base,base_a_2_2,затухающие колебания,32,early,0.8,1.0,1.0,1.0,5.604775902649332e-13,0.0909090909090909,10.0,0.3,0.9090909090909091,0.09090909090909095
base,base_a_2_2,затухающие колебания,32,early,0.9,1.0,1.0,1.0,5.604775902649332e-13,0.0909090909090909,10.0,0.3,0.9090909090909091,0.09090909090909095
base,base_a_2_2,затухающие колебания,32,early,0.95,1.0,1.0,1.0,5.604775902649332e-13,0.0909090909090909,10.0,0.3,0.9090909090909091,0.09090909090909095
base,base_a_2_2,затухающие колебания,32,early,0.99,1.0,1.0,1.0,5.604775902649332e-13,0.0909090909090909,10.0,0.3,0.9090909090909091,0.09090909090909095
base,base_a_2_2,затухающие колебания,33,early,0.8,1.0,1.0,1.0,2.2185956775426044e-13,0.09090909090909091,10.0,0.4,0.9090909090909091,0.09090909090909094
base,base_a_2_2,затухающие колебания,33,early,0.9,1.0,1.0,1.0,2.2185956775426044e-13,0.09090909090909091,10.0,0.4,0.9090909090909091,0.09090909090909094
base,base_a_2_2,затухающие колебания,33,early,0.95,1.0,1.0,1.0,2.2185956775426044e-13,0.09090909090909091,10.0,0.4,0.9090909090909091,0.09090909090909094
base,base_a_2_2,затухающие колебания,33,early,0.99,1.0,1.0,1.0,2.2185956775426044e-13,0.09090909090909091,10.0,0.4,0.9090909090909091,0.09090909090909094
base,base_a_2_2,затухающие колебания,34,early,0.8,1.0,1.0,1.0,8.970602038971265e-14,0.0909090909090909,10.0,0.0,0.9090909090909091,0.09090909090909095
base,base_a_2_2,затухающие колебания,34,early,0.9,1.0,1.0,1.0,8.970602038971265e-14,0.0909090909090909,10.0,0.0,0.9090909090909091,0.09090909090909095
base,base_a_2_2,затухающие колебания,34,early,0.95,1.0,1.0,1.0,8.970602038971265e-14,0.0909090909090909,10.0,0.0,0.9090909090909091,0.09090909090909095
base,base_a_2_2,затухающие колебания,34,early,0.99,1.0,1.0,1.0,8.970602038971265e-14,0.0909090909090909,10.0,0.0,0.9090909090909091,0.09090909090909095
base,base_a_2_2,затухающие колебания,35,early,0.8,1.0,1.0,1.0,3.5416114485542494e-14,0.09090909090909087,10.0,0.0,0.9090909090909091,0.09090909090909094
base,base_a_2_2,затухающие колебания,35,early,0.9,1.0,1.0,1.0,3.5416114485542494e-14,0.09090909090909087,10.0,0.0,0.9090909090909091,0.09090909090909094
base,base_a_2_2,затухающие колебания,35,early,0.95,1.0,1.0,1.0,3.5416114485542494e-14,0.09090909090909087,10.0,0.0,0.9090909090909091,0.09090909090909094
base,base_a_2_2,затухающие колебания,35,early,0.99,1.0,1.0,1.0,3.5416114485542494e-14,0.09090909090909087,10.0,0.0,0.9090909090909091,0.09090909090909094
base,base_a_2_2,затухающие колебания,36,early,0.8,1.0,1.0,1.0,1.4247862149356177e-14,0.09090909090909084,10.0,0.0,0.9090909090909091,0.09090909090909094
base,base_a_2_2,затухающие колебания,36,early,0.9,1.0,1.0,1.0,1.4247862149356177e-14,0.09090909090909084,10.0,0.0,0.9090909090909091,0.09090909090909094
base,base_a_2_2,затухающие колебания,36,early,0.95,1.0,1.0,1.0,1.4247862149356177e-14,0.09090909090909084,10.0,0.0,0.9090909090909091,0.09090909090909094
base,base_a_2_2,затухающие колебания,36,early,0.99,1.0,1.0,1.0,1.4247862149356177e-14,0.09090909090909084,10.0,0.0,0.9090909090909091,0.09090909090909094
base,base_a_2_2,затухающие колебания,37,early,0.8,1.0,1.0,1.0,5.495603971894525e-15,0.0909090909090909,10.0,0.1,0.9090909090909091,0.0909090909090909
base,base_a_2_2,затухающие колебания,37,early,0.9,1.0,1.0,1.0,5.495603971894525e-15,0.0909090909090909,10.0,0.1,0.9090909090909091,0.0909090909090909
base,base_a_2_2,затухающие колебания,37,early,0.95,1.0,1.0,1.0,5.495603971894525e-15,0.0909090909090909,10.0,0.1,0.9090909090909091,0.0909090909090909
base,base_a_2_2,затухающие колебания,37,early,0.99,1.0,1.0,1.0,5.495603971894525e-15,0.0909090909090909,10.0,0.1,0.9090909090909091,0.0909090909090909
base,base_a_2_2,затухающие колебания,38,early,0.8,1.0,1.0,1.0,2.1834386150961413e-15,0.09090909090909086,10.0,0.0,0.9090909090909091,0.09090909090909094
