case,component,variable,abs_loading,loading_share,is_true_predictor
base_a_2_52,3,Lag_5,0.27123266291513926,0.10451592153866505,0
base_a_2_52,3,Lag_8,0.23224745741362382,0.08652090298699582,0
base_a_2_52,3,Lag_4,0.21011289247589052,0.07958314008802168,0
base_a_2_52,3,X_n,0.14433713508589832,0.05389499824113775,1
base_a_2_52,3,Lag_1,0.12237826601357232,0.04733985644784935,0
base_a_2_52,3,Lag_3,0.11225331455944888,0.041912159966015244,0
base_a_2_52,3,Lag_2,0.11005979583368763,0.043448208408890576,0
base_a_2_52,4,Lag_9,0.44006579254937384,0.17005810140728844,0
base_a_2_52,4,Lag_10,0.31958905160347273,0.11339645606984203,0
base_a_2_52,4,Lag_8,0.3060197065465857,0.12432549918949783,0
base_a_2_52,4,Lag_7,0.2577168513522743,0.09228479058808606,0
base_a_2_52,4,Lag_4,0.24768655447221147,0.09226415698318093,0
base_a_2_52,4,X_n,0.211730400774547,0.08061506383291725,1
base_a_2_52,4,Lag_6,0.21008935227750797,0.07860051310311195,0
base_a_2_52,4,Lag_1,0.19575923148538807,0.07210900178408827,0
base_a_2_52,4,Lag_5,0.18630796561081453,0.06752784337191096,0
base_a_2_52,4,Lag_3,0.15701963343236958,0.06014466825716595,0
base_a_2_52,4,Lag_2,0.1366585067232685,0.048673905412910376,0
base_a_2_52,5,Lag_5,0.4403064481323399,0.15665129548281864,0
base_a_2_52,5,Lag_10,0.4034981566879295,0.14484422557661497,0
base_a_2_52,5,Lag_8,0.34231774975735846,0.1197335123521347,0
base_a_2_52,5,Lag_9,0.326101482257628,0.11436231755335255,0
base_a_2_52,5,Lag_7,0.3253240377063318,0.11657431451456779,0
base_a_2_52,5,Lag_6,0.2547143026807351,0.08827019631790943,0
base_a_2_52,5,Lag_4,0.2363854676373222,0.08177176911603398,0
base_a_2_52,5,X_n,0.18355301317961847,0.06454330496505772,1
base_a_2_52,5,Lag_2,0.14259876819639944,0.051130973287672854,0
base_a_2_52,5,Lag_1,0.12335620081017015,0.043941592082013856,0
base_a_2_52,5,Lag_3,0.051084783001063026,0.01817649875182358,0
base_a_2_52,6,Lag_10,0.4650226401070818,0.158861708823407,0
base_a_2_52,6,Lag_4,0.439634934270121,0.15018872393080726,0
base_a_2_52,6,Lag_5,0.4387283679577725,0.14987902143221865,0
base_a_2_52,6,Lag_9,0.3969798975057502,0.13561684840071947,0
base_a_2_52,6,Lag_3,0.2919763656827032,0.09974538955290711,0
base_a_2_52,6,X_n,0.21677019612876275,0.07405334882420041,1
base_a_2_52,6,Lag_6,0.19859234346310806,0.06784340442979188,0
base_a_2_52,6,Lag_8,0.16823670664906878,0.057473267750875454,0
base_a_2_52,6,Lag_1,0.16642618965903822,0.056854756310607005,0
base_a_2_52,6,Lag_7,0.10580960391845326,0.036146830366243415,0
base_a_2_52,6,Lag_2,0.039039410901009736,0.013336700178222359,0
delay_g_1_25,1,Lag_9,0.40959787045106893,0.1345644393350967,0
delay_g_1_25,1,Lag_1,0.40597913167638583,0.1333254294038589,1
delay_g_1_25,1,Lag_5,0.38580263776567536,0.1267140751342564,0
delay_g_1_25,1,Lag_10,0.2854132856572227,0.09375860143901217,0
delay_g_1_25,1,X_n,0.28516105193897745,0.09364746905653178,0
delay_g_1_25,1,Lag_8,0.2850073495241945,0.09369752810532236,0
delay_g_1_25,1,Lag_4,0.28296196402910495,0.09290013294069736,0
delay_g_1_25,1,Lag_6,0.2783025676545699,0.09145279470890826,0
delay_g_1_25,1,Lag_2,0.2766030766332912,0.09087232562719974,0
delay_g_1_25,1,Lag_7,0.07504600096320793,0.024578196894890644,0
delay_g_1_25,1,Lag_3,0.07483430897114951,0.02448900735422565,0
delay_g_1_25,2,Lag_7,0.4279927620905542,0.14651567709891092,0
delay_g_1_25,2,Lag_3,0.42777370673254267,0.14647645440907045,0
delay_g_1_25,2,Lag_2,0.3282493891882046,0.11239228387123688,0
delay_g_1_25,2,Lag_8,0.3212193835735701,0.10992601178512915,0
delay_g_1_25,2,X_n,0.3194649057406624,0.10943333873270562,0
delay_g_1_25,2,Lag_10,0.31641888701279586,0.1082440209596893,0
delay_g_1_25,2,Lag_6,0.29419305899599785,0.10078939000042503,0
delay_g_1_25,2,Lag_4,0.2871136778393339,0.09840840262894134,0
delay_g_1_25,2,Lag_5,0.07536402432216002,0.025813703097814503,0
delay_g_1_25,2,Lag_1,0.06489003148444016,0.022282806634483367,1
delay_g_1_25,2,Lag_9,0.057932878829344885,0.019717910781593444,0
delay_g_1_25,3,Lag_4,0.4519417989363806,0.15330549866919913,0
delay_g_1_25,3,Lag_6,0.4273415717436921,0.14533157834845364,0
delay_g_1_25,3,Lag_2,0.3012114711960235,0.10226388263749905,0
delay_g_1_25,3,Lag_10,0.3010301853294999,0.10213901146008832,0
delay_g_1_25,3,X_n,0.2823606811830694,0.09623521412890926,0
delay_g_1_25,3,Lag_8,0.27817034757034376,0.09485629500034615,0
delay_g_1_25,3,Lag_7,0.2093282577088021,0.06917734508591324,0
delay_g_1_25,3,Lag_5,0.20215651629462417,0.06743031197158533,0
delay_g_1_25,3,Lag_3,0.19343853774197406,0.06632892434801275,0
delay_g_1_25,3,Lag_9,0.15996366205403753,0.05400651927183593,0
delay_g_1_25,3,Lag_1,0.14618017604310185,0.04892541907815721,1
delay_g_1_25,4,Lag_5,0.4539845201215923,0.15880219176093852,0
delay_g_1_25,4,Lag_3,0.40988855865385787,0.1423379582075424,0
delay_g_1_25,4,Lag_7,0.37143031349903516,0.13075698841738248,0
delay_g_1_25,4,Lag_1,0.329522482074064,0.11505669608827822,1
delay_g_1_25,4,Lag_9,0.318101598115705,0.11092782387802977,0
delay_g_1_25,4,Lag_6,0.20503738494715384,0.06857590258056569,0
