case,component,variable,abs_loading,loading_share,is_true_predictor
delay_g_1_25,4,Lag_4,0.2031794561817703,0.06957972352492267,0
delay_g_1_25,4,Lag_8,0.1643385121385513,0.05532281388525743,0
delay_g_1_25,4,Lag_2,0.14803753599321107,0.05107902604318868,0
delay_g_1_25,4,X_n,0.14640350676696276,0.049123327251553384,0
delay_g_1_25,4,Lag_10,0.13877932551112535,0.04843754836234077,0
delay_g_1_25,5,Lag_5,0.4131287468732797,0.14710263030750012,0
delay_g_1_25,5,Lag_1,0.39065400632833436,0.1420937944028326,1
delay_g_1_25,5,Lag_7,0.3574336844115237,0.12666950536743243,0
delay_g_1_25,5,Lag_3,0.29356670583000666,0.10422683594417367,0
delay_g_1_25,5,Lag_4,0.2843250393812275,0.09992924625228085,0
delay_g_1_25,5,X_n,0.2504119688529711,0.08821191389108657,0
delay_g_1_25,5,Lag_2,0.24170538608259454,0.08245848350766362,0
delay_g_1_25,5,Lag_6,0.22352110750792864,0.07663130337590304,0
delay_g_1_25,5,Lag_10,0.1825718177521996,0.06787544176742608,0
delay_g_1_25,5,Lag_9,0.12088299545052347,0.04201180578508838,0
delay_g_1_25,5,Lag_8,0.06540753108184669,0.022789039398612647,0
mixed_q_1_5_gamma_0_5,1,Lag_8,0.36127417338621637,0.11544069581047288,0
mixed_q_1_5_gamma_0_5,1,Lag_6,0.35118100490405463,0.11221096682602831,0
mixed_q_1_5_gamma_0_5,1,Lag_4,0.337682673676577,0.10797606789017088,0
mixed_q_1_5_gamma_0_5,1,Lag_10,0.32945366923199576,0.10487441014599184,0
mixed_q_1_5_gamma_0_5,1,Lag_2,0.3172380205119591,0.10148028663390307,0
mixed_q_1_5_gamma_0_5,1,X_n,0.3097002427239189,0.09910255127547365,1
mixed_q_1_5_gamma_0_5,1,Lag_9,0.249911220476736,0.08007405118480497,0
mixed_q_1_5_gamma_0_5,1,Lag_7,0.24933926434773027,0.07931022180830476,0
mixed_q_1_5_gamma_0_5,1,Lag_5,0.23080932284001712,0.07321677384694242,0
mixed_q_1_5_gamma_0_5,1,Lag_3,0.20758596924453435,0.06584823484934928,0
mixed_q_1_5_gamma_0_5,1,Lag_1,0.19075382022497103,0.06046573972855795,1
mixed_q_1_5_gamma_0_5,2,Lag_3,0.3876112675578043,0.13220862466875388,0
mixed_q_1_5_gamma_0_5,2,Lag_1,0.3780696326474126,0.12891692802208324,1
mixed_q_1_5_gamma_0_5,2,Lag_5,0.3244619444349541,0.10862939794154465,0
mixed_q_1_5_gamma_0_5,2,Lag_7,0.31131882994020593,0.10358686674967389,0
mixed_q_1_5_gamma_0_5,2,Lag_9,0.31014499809906027,0.10298999871160473,0
mixed_q_1_5_gamma_0_5,2,Lag_2,0.26530176238390774,0.09261399360810238,0
mixed_q_1_5_gamma_0_5,2,X_n,0.24905613447750233,0.086865214218814,1
