model,case,regime,start,stage,component,variable,loading,abs_loading,loading_share,is_true_predictor
mixed,mixed_q_2_8_gamma_0_5,"смешанная память, цикл",73,middle,2,Lag_2,0.4232165358065693,0.4232165358065693,0.13700621750791764,0
mixed,mixed_q_2_8_gamma_0_5,"смешанная память, цикл",73,middle,2,Lag_3,-0.1492857312647039,0.1492857312647039,0.048327680130694654,0
mixed,mixed_q_2_8_gamma_0_5,"смешанная память, цикл",73,middle,2,Lag_4,-0.30557845494073854,0.30557845494073854,0.09892370623835718,0
mixed,mixed_q_2_8_gamma_0_5,"смешанная память, цикл",73,middle,2,Lag_5,0.4232312711980123,0.4232312711980123,0.13701098773798734,0
mixed,mixed_q_2_8_gamma_0_5,"смешанная память, цикл",73,middle,2,Lag_6,-0.14929617197414224,0.14929617197414224,0.048331060060322215,0
mixed,mixed_q_2_8_gamma_0_5,"смешанная память, цикл",73,middle,2,Lag_7,-0.30556926490829833,0.30556926490829833,0.09892073118545427,0
mixed,mixed_q_2_8_gamma_0_5,"смешанная память, цикл",73,middle,2,Lag_8,0.4232351613194367,0.4232351613194367,0.1370122470716308,0
mixed,mixed_q_2_8_gamma_0_5,"смешанная память, цикл",73,middle,2,Lag_9,-0.14919641142369222,0.14919641142369222,0.04829876497136116,0
mixed,mixed_q_2_8_gamma_0_5,"смешанная память, цикл",73,middle,2,Lag_10,-0.3055968506766439,0.3055968506766439,0.09892966141728199,0
mixed,mixed_q_2_8_gamma_0_5,"смешанная память, цикл",74,middle,1,X_n,0.3668259670228287,0.3668259670228287,0.12397594554855572,1
mixed,mixed_q_2_8_gamma_0_5,"смешанная память, цикл",74,middle,1,Lag_1,-0.33727574781906633,0.33727574781906633,0.1139888762124159,1
mixed,mixed_q_2_8_gamma_0_5,"смешанная память, цикл",74,middle,1,Lag_2,-0.04751557924475149,0.04751557924475149,0.016058810975038727,0
mixed,mixed_q_2_8_gamma_0_5,"смешанная память, цикл",74,middle,1,Lag_3,0.36681179850911255,0.36681179850911255,0.12397115702472455,0
mixed,mixed_q_2_8_gamma_0_5,"смешанная память, цикл",74,middle,1,Lag_4,-0.337307096481454,0.337307096481454,0.11399947110048432,0
mixed,mixed_q_2_8_gamma_0_5,"смешанная память, цикл",74,middle,1,Lag_5,-0.047488083809261575,0.047488083809261575,0.016049518359685464,0
mixed,mixed_q_2_8_gamma_0_5,"смешанная память, цикл",74,middle,1,Lag_6,0.3667900324303223,0.3667900324303223,0.12396380075651703,0
mixed,mixed_q_2_8_gamma_0_5,"смешанная память, цикл",74,middle,1,Lag_7,-0.33731253692886076,0.33731253692886076,0.11400130980513473,0
mixed,mixed_q_2_8_gamma_0_5,"смешанная память, цикл",74,middle,1,Lag_8,-0.047476395095674945,0.047476395095674945,0.016045567932372724,0
mixed,mixed_q_2_8_gamma_0_5,"смешанная память, цикл",74,middle,1,Lag_9,0.36678422032538277,0.36678422032538277,0.12396183644299977,0
mixed,mixed_q_2_8_gamma_0_5,"смешанная память, цикл",74,middle,1,Lag_10,-0.3372604494795921,0.3372604494795921,0.11398370584207099,0
mixed,mixed_q_2_8_gamma_0_5,"смешанная память, цикл",74,middle,2,X_n,-0.18215462575408473,0.18215462575408473,0.05908477039424458,1
mixed,mixed_q_2_8_gamma_0_5,"смешанная память, цикл",74,middle,2,Lag_1,-0.24636582470897128,0.24636582470897128,0.07991270123202927,1
mixed,mixed_q_2_8_gamma_0_5,"смешанная память, цикл",74,middle,2,Lag_2,0.4562323655068159,0.4562323655068159,0.14798627512641582,0
mixed,mixed_q_2_8_gamma_0_5,"смешанная память, цикл",74,middle,2,Lag_3,-0.1821924363457657,0.1821924363457657,0.05909703486526031,0
