model,case,regime,start,end,stage,true_predictor_count,cond_original,cond_pcr,cond_reduction_ratio,enter_validation_r2,pcr_validation_r2,enter_validation_mae,pcr_validation_mae,enter_true_mass_share,pcr_true_mass_share,enter_support_90,pcr_support_90,enter_pairwise,pcr_pairwise,enter_topk,pcr_topk,enter_false_lag_rate,pcr_false_lag_rate,enter_hit_rate,pcr_hit_rate,retained_components,explained_variance_share,pc1_share,component_dominance,component_true_loading_share
mixed,mixed_q_2_8_gamma_0_5,"смешанная память, цикл",44,69,early,2.0,1.5347746736389304e+16,1.1504436816635408,1.3340719742314088e+16,0.9999999402791349,0.9996305400440402,0.00012466698563699344,0.010204935794482969,0.49341498875979434,0.13801420108068188,7.0,7.0,1.0,0.3888888888888889,1.0,0.0,0.8,0.8571428571428571,1.0,0.5,2.0,0.9999114414423217,0.5695681883599483,0.13608429354754276,0.18867114075961788
mixed,mixed_q_2_8_gamma_0_5,"смешанная память, цикл",45,70,early,2.0,8827304115265418.0,1.1090758973626735,7959152422531498.0,0.9999999240460179,0.9997612519165284,0.0001314309985386656,0.008229513196662023,0.4668694576446528,0.14461491080916977,8.0,7.0,1.0,0.3333333333333333,1.0,0.0,0.8,0.8571428571428571,1.0,0.5,2.0,0.99992100014764,0.5515358548182371,0.13322826344150768,0.18352201673144863
mixed,mixed_q_2_8_gamma_0_5,"смешанная память, цикл",46,71,early,2.0,1.1098500451287576e+16,1.0483080445024466,1.0587060272493858e+16,0.9999999757195889,0.9998190471659387,8.842477067694254e-05,0.005736261225789074,0.8059154877578001,0.1456470286075905,5.0,7.0,1.0,0.3333333333333333,1.0,0.0,0.6,0.8571428571428571,1.0,0.5,2.0,0.9999267792465214,0.5235329178366116,0.13251537911786834,0.18630811359112148
mixed,mixed_q_2_8_gamma_0_5,"смешанная память, цикл",47,72,early,2.0,1.3973330390050026e+16,1.148827037968129,1.2163128067358106e+16,0.9999999832353715,0.9998868048832932,6.835339061071292e-05,0.00434672615326757,0.6495475674239822,0.1374688613781881,5.0,7.0,1.0,0.3333333333333333,1.0,0.0,0.7142857142857143,0.8571428571428571,1.0,0.5,2.0,0.9999287048707228,0.568888456141309,0.13605633755578805,0.18866203854761848
mixed,mixed_q_2_8_gamma_0_5,"смешанная память, цикл",48,73,middle,2.0,1.4138839914358622e+17,1.109549118061996,1.2742869769527963e+17,0.9999999785566717,0.9999776150669171,8.211899192402579e-05,0.0022685413536818557,0.5086554017790788,0.144617549511447,7.0,7.0,1.0,0.3333333333333333,1.0,0.0,0.8,0.8571428571428571,1.0,0.5,2.0,0.9999317462164159,0.5517527831866199,0.1332516086090264,0.1835104993604512
mixed,mixed_q_2_8_gamma_0_5,"смешанная память, цикл",49,74,middle,2.0,4.7969339926900024e+16,1.0476450669832584,4.5787778169022376e+16,0.9999999954664632,0.9999623507587068,3.955516231063383e-05,0.003513028592021498,0.5004684448410763,0.1457571233469197,8.0,7.0,1.0,0.3333333333333333,1.0,0.0,0.8,0.8571428571428571,1.0,0.5,2.0,0.9999424233445658,0.5232255072626624,0.1325115863487595,0.18655434449517438
mixed,mixed_q_2_8_gamma_0_5,"смешанная память, цикл",50,75,middle,2.0,1.676216637461201e+16,1.1487690236226733,1.4591415706659706e+16,0.9999999966048982,0.9999791450652594,3.113807568468537e-05,0.0022323000504462973,0.47601277473012976,0.137275079588797,8.0,7.0,1.0,0.2777777777777778,1.0,0.0,0.8,0.8571428571428571,1.0,0.5,2.0,0.9999599796244276,0.5688814799280998,0.1360066122127001,0.18853799235274066
mixed,mixed_q_2_8_gamma_0_5,"смешанная память, цикл",51,76,middle,2.0,1.1788153973190013e+18,1.1104237177045115,1.0615906149373956e+18,0.9999999965398632,0.9999594552407964,3.405066526786701e-05,0.0036608873908220985,0.4713388530797433,0.14486433890334624,8.0,7.0,1.0,0.2777777777777778,1.0,0.0,0.8,0.8571428571428571,1.0,0.5,2.0,0.999970458180999,0.5521638424332201,0.13320665876817545,0.18347015683214335
mixed,mixed_q_2_8_gamma_0_5,"смешанная память, цикл",52,77,middle,2.0,3.3220808942265316e+16,1.0471457189378393,3.1725106010997664e+16,0.9999999949764543,0.9999670226481296,4.14033983213713e-05,0.003370473266816887,0.4647083799375201,0.14578098620502827,7.0,7.0,0.9444444444444444,0.3888888888888889,0.5,0.0,0.75,0.8571428571428571,1.0,0.5,2.0,0.9999786057609557,0.5230065793283712,0.13247155608070788,0.18635010351644293
mixed,mixed_q_2_8_gamma_0_5,"смешанная память, цикл",53,78,middle,2.0,4.201349287720699e+16,1.149577362755238,3.654690344328943e+16,0.9999999991719716,0.9999552309608069,1.665200547451562e-05,0.0036753463725128963,0.4882885420248325,0.13741149259643343,7.0,7.0,0.9444444444444444,0.2222222222222222,0.5,0.0,0.8,0.8571428571428571,1.0,0.5,2.0,0.9999864005571277,0.5692414981047386,0.1359867017714611,0.18844204870725434
