date,series_code,series_name,series_label,variant,index_value
2013-05-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_unsmoothed,100.758
2013-06-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_unsmoothed,101.149
2013-07-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_unsmoothed,101.535
2013-08-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_unsmoothed,101.941
2013-09-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_unsmoothed,101.283
2013-10-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_unsmoothed,100.749
2013-11-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_unsmoothed,101.328
2013-12-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_unsmoothed,101.218
2014-01-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_unsmoothed,101.348
2014-02-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_unsmoothed,102.117
2014-03-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_unsmoothed,101.566
2014-04-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_unsmoothed,102.388
2014-05-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_unsmoothed,102.561
2014-06-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_unsmoothed,102.66
2014-07-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_unsmoothed,101.672
2014-08-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_unsmoothed,101.849
2014-09-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_unsmoothed,101.96
2014-10-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_unsmoothed,102.237
2014-11-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_unsmoothed,102.787
2014-12-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_unsmoothed,103.356
2015-01-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_unsmoothed,102.741
2015-02-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_unsmoothed,102.309
2015-03-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_unsmoothed,103.117
2015-04-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_unsmoothed,102.399
2015-05-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_unsmoothed,102.882
2015-06-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_unsmoothed,102.417
2015-07-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_unsmoothed,102.661
2015-08-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_unsmoothed,103.141
2015-09-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_unsmoothed,103.303
2015-10-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_unsmoothed,104.46
2015-11-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_unsmoothed,104.113
2015-12-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_unsmoothed,103.941
2016-01-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_unsmoothed,103.998
2016-02-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_unsmoothed,103.952
2016-03-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_unsmoothed,104.899
2016-04-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_unsmoothed,104.651
2016-05-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_unsmoothed,104.554
2016-06-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_unsmoothed,105.127
2016-07-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_unsmoothed,105.544
2016-08-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_unsmoothed,105.257
2016-09-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_unsmoothed,107.376
2016-10-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_unsmoothed,107.645
2016-11-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_unsmoothed,107.753
2016-12-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_unsmoothed,108.293
2017-01-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_unsmoothed,108.481
2017-02-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_unsmoothed,108.687
2017-03-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_unsmoothed,107.857
2017-04-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_unsmoothed,108.458
2017-05-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_unsmoothed,109.553
2017-06-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_unsmoothed,108.922
2017-07-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_unsmoothed,108.754
2017-08-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_unsmoothed,109.175
2017-09-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_unsmoothed,107.164
2017-10-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_unsmoothed,106.987
2017-11-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_unsmoothed,106.32
2017-12-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_unsmoothed,106.915
2018-01-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_unsmoothed,108.289
2018-02-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_unsmoothed,108.679
2018-03-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_unsmoothed,109.614
2018-04-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_unsmoothed,109.841
2018-05-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_unsmoothed,110.513
2018-06-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_unsmoothed,111.827
2018-07-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_unsmoothed,112.9
2018-08-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_unsmoothed,113.801
2018-09-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_unsmoothed,114.504
2018-10-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_unsmoothed,115.295
2018-11-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_unsmoothed,114.995
2018-12-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_unsmoothed,114.513
2019-01-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_unsmoothed,115.258
2019-02-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_unsmoothed,115.401
2019-03-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_unsmoothed,115.987
2019-04-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_unsmoothed,115.92
2019-05-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_unsmoothed,114.945
