alpha,threshold_in,threshold_out,model,case,regime,start,end,stage,var_omega,cond_scaled,interpretability,degenerate_window,R2_enter,selected_count,hit_rate,false_lag_count,false_lag_rate,miss_rate,no_model,exact_recovery
0.01,0.01,0.015,base,base_a_0_8,устойчивое насыщение,52,77,middle,0.0,0.0,low_dispersion,1,,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0.01,0.01,0.015,base,base_a_0_8,устойчивое насыщение,53,78,middle,0.0,0.0,low_dispersion,1,,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0.01,0.01,0.015,base,base_a_0_8,устойчивое насыщение,54,79,middle,0.0,0.0,low_dispersion,1,,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0.01,0.01,0.015,base,base_a_0_8,устойчивое насыщение,55,80,middle,0.0,0.0,low_dispersion,1,,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0.01,0.01,0.015,base,base_a_0_8,устойчивое насыщение,56,81,middle,0.0,0.0,low_dispersion,1,,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0.01,0.01,0.015,base,base_a_0_8,устойчивое насыщение,57,82,middle,0.0,0.0,low_dispersion,1,,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0.01,0.01,0.015,base,base_a_0_8,устойчивое насыщение,58,83,middle,0.0,0.0,low_dispersion,1,,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0.01,0.01,0.015,base,base_a_0_8,устойчивое насыщение,59,84,middle,0.0,0.0,low_dispersion,1,,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0.01,0.01,0.015,base,base_a_0_8,устойчивое насыщение,60,85,middle,0.0,0.0,low_dispersion,1,,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0.01,0.01,0.015,base,base_a_0_8,устойчивое насыщение,61,86,middle,0.0,0.0,low_dispersion,1,,0.0,0.0,0.0,0.0,1.0,1.0,0.0
