model,case,regime,start,end,stage,mean_abs_corr,max_abs_corr,false_stepwise,problem_window,selected_count,R2_enter,top_b,top_beta,correct_top_b,correct_top_beta,topk_b,topk_beta,pairwise_b,pairwise_beta,margin_b,margin_beta,delta_pairwise
delay,delay_g_1_25,сложный цикл,46,71,early,0.4930079119681298,0.9020016555466591,0,0,1.0,1.0,Lag_1,Lag_1,1.0,1.0,1.0,1.0,1.0,1.0,1.2499999999999918,0.9999999999999984,0.0
delay,delay_g_1_25,сложный цикл,47,72,early,0.5082578226813707,0.9020016555466591,1,1,2.0,1.0,Lag_1,Lag_1,1.0,1.0,1.0,1.0,1.0,1.0,1.2499999999999978,0.9999999999999962,0.0
delay,delay_g_1_25,сложный цикл,48,73,early,0.4952258125459414,0.9020016555466591,0,0,1.0,1.0,Lag_1,Lag_1,1.0,1.0,1.0,1.0,1.0,1.0,1.2499999999999978,0.9999999999999973,0.0
delay,delay_g_1_25,сложный цикл,49,74,early,0.48812572969598206,0.8917569495442412,0,0,1.0,1.0,Lag_1,Lag_1,1.0,1.0,1.0,1.0,1.0,1.0,1.2499999999999982,0.9999999999999973,0.0
delay,delay_g_1_25,сложный цикл,50,75,early,0.49341904026482636,0.8973499039115169,0,0,1.0,1.0,Lag_1,Lag_1,1.0,1.0,1.0,1.0,1.0,1.0,1.2499999999999978,0.9999999999999996,0.0
delay,delay_g_1_25,сложный цикл,51,76,early,0.5001295587211627,0.9124341333613817,0,0,1.0,1.0,Lag_1,Lag_1,1.0,1.0,1.0,1.0,1.0,1.0,1.2499999999999984,0.9999999999999994,0.0
delay,delay_g_1_25,сложный цикл,52,77,middle,0.4950804302690001,0.9124341333613817,0,0,1.0,1.0,Lag_1,Lag_1,1.0,1.0,1.0,1.0,1.0,1.0,1.25,0.9999999999999994,0.0
delay,delay_g_1_25,сложный цикл,53,78,middle,0.4983299408401462,0.9345731322969423,0,0,1.0,1.0,Lag_1,Lag_1,1.0,1.0,1.0,1.0,1.0,1.0,1.2499999999999973,1.0,0.0
delay,delay_g_1_25,сложный цикл,54,79,middle,0.5038801406256768,0.9639084961149085,0,0,1.0,1.0,Lag_1,Lag_1,1.0,1.0,1.0,1.0,1.0,1.0,1.2499999999999987,0.9999999999999996,0.0
delay,delay_g_1_25,сложный цикл,55,80,middle,0.5162240247675333,0.9639084961149085,1,1,2.0,1.0,Lag_1,Lag_1,1.0,1.0,1.0,1.0,1.0,1.0,1.2499999999999991,0.9999999999999964,0.0
delay,delay_g_1_25,сложный цикл,56,81,middle,0.5186872168463584,0.9639084961149085,0,0,1.0,1.0,Lag_1,Lag_1,1.0,1.0,1.0,1.0,1.0,1.0,1.2499999999999973,1.0000000000000004,0.0
delay,delay_g_1_25,сложный цикл,57,82,middle,0.5159454263143812,0.9660517863797464,0,0,1.0,1.0,Lag_1,Lag_1,1.0,1.0,1.0,1.0,1.0,1.0,1.2499999999999971,0.9999999999999974,0.0
delay,delay_g_1_25,сложный цикл,58,83,middle,0.5109243616813811,0.970863853428899,0,0,1.0,1.0,Lag_1,Lag_1,1.0,1.0,1.0,1.0,1.0,1.0,1.25,0.9999999999999987,0.0
delay,delay_g_1_25,сложный цикл,59,84,middle,0.5143874661282143,0.9771925453345838,0,0,1.0,1.0,Lag_1,Lag_1,1.0,1.0,1.0,1.0,1.0,1.0,1.2499999999999978,1.0000000000000013,0.0
delay,delay_g_1_25,сложный цикл,60,85,middle,0.5102017524614274,0.9774186782797578,0,0,1.0,1.0,Lag_1,Lag_1,1.0,1.0,1.0,1.0,1.0,1.0,1.2499999999999996,0.9999999999999982,0.0
delay,delay_g_1_25,сложный цикл,61,86,middle,0.5072212591727395,0.9856071931297536,0,0,1.0,1.0,Lag_1,Lag_1,1.0,1.0,1.0,1.0,1.0,1.0,1.2499999999999962,0.9999999999999987,0.0
delay,delay_g_1_25,сложный цикл,62,87,middle,0.5096078140784541,0.9994262011033875,0,0,1.0,1.0,Lag_1,Lag_1,1.0,1.0,1.0,1.0,1.0,1.0,1.249999999999995,0.9999999999999936,0.0
delay,delay_g_1_25,сложный цикл,63,88,middle,0.5197872873407217,0.9994262011033875,0,0,1.0,1.0,Lag_1,Lag_1,1.0,1.0,1.0,1.0,1.0,1.0,1.249999999999984,0.9999999999999964,0.0
delay,delay_g_1_25,сложный цикл,64,89,middle,0.5165918042061042,0.9994262011033875,1,1,2.0,1.0,Lag_1,Lag_1,1.0,1.0,1.0,1.0,1.0,1.0,1.2499999999999922,0.9999999999999609,0.0
delay,delay_g_1_25,сложный цикл,65,90,middle,0.5132137265146646,0.998301840456284,0,0,1.0,1.0,Lag_1,Lag_1,1.0,1.0,1.0,1.0,1.0,1.0,1.2499999999999891,0.9999999999999931,0.0
delay,delay_g_1_25,сложный цикл,66,91,middle,0.5126329879056458,0.9982301899274403,0,0,1.0,1.0,Lag_1,Lag_1,1.0,1.0,1.0,1.0,1.0,1.0,1.249999999999998,0.999999999999996,0.0
delay,delay_g_1_25,сложный цикл,67,92,middle,0.5168728671625837,0.9982301899274403,0,0,1.0,1.0,Lag_1,Lag_1,1.0,1.0,1.0,1.0,1.0,1.0,1.249999999999991,0.9999999999999969,0.0
delay,delay_g_1_25,сложный цикл,68,93,middle,0.5102860031239915,0.9982301899274403,0,0,1.0,1.0,Lag_1,Lag_1,1.0,1.0,1.0,1.0,1.0,1.0,1.249999999999998,0.999999999999992,0.0
delay,delay_g_1_25,сложный цикл,69,94,middle,0.5067892055976391,0.9980431090063213,0,0,1.0,1.0,Lag_1,Lag_1,1.0,1.0,1.0,1.0,1.0,1.0,1.2499999999999725,0.9999999999999957,0.0
