model,case,variable,is_true_predictor,mean_abs_B,mean_abs_Beta,selection_rate,problem_mean_abs_B,problem_mean_abs_Beta,problem_selection_rate
mixed,mixed_q_1_5_gamma_neg_0_2,Lag_8,0,0.08642680992888067,0.05218072402946249,0.4774193548387097,0.09302885790949174,0.0561667515594865,0.5138888888888888
mixed,mixed_q_1_5_gamma_neg_0_2,Lag_9,0,0.09796064295488344,0.04562856751370716,0.47096774193548385,0.10544374762503574,0.0491140830876684,0.5069444444444444
mixed,mixed_q_1_5_gamma_neg_0_2,Lag_10,0,0.07435316910741115,0.04476320621770044,0.4645161290322581,0.08003292508089274,0.04818261780377452,0.5
mixed,mixed_q_2_8_gamma_0_5,Lag_1,1,1.3697548290242496,0.5772287455509318,0.967741935483871,1.4000069062694689,0.5820005730327728,0.16666666666666666
mixed,mixed_q_2_8_gamma_0_5,X_n,1,2.7514983828122,1.1507302936755224,0.967741935483871,2.799993109828351,1.2003606503446325,0.16666666666666666
mixed,mixed_q_2_8_gamma_0_5,Lag_3,0,0.040372132408051,0.0014362874585722137,0.03870967741935484,5.324856841089816e-06,3.9785399863490056e-08,1.0
mixed,mixed_q_2_8_gamma_0_5,Lag_2,0,0.047463660097967396,0.0008992560262959639,0.03225806451612903,3.577355099556219e-07,5.086272952444422e-06,0.8333333333333334
mixed,mixed_q_2_8_gamma_0_5,Lag_10,0,0.008864168052594877,0.0005512407180416187,0.0,4.8507494317580795e-12,1.291441250902044e-06,0.0
mixed,mixed_q_2_8_gamma_0_5,Lag_4,0,0.020383389708695434,0.0013513144809824793,0.0,3.973698161037949e-06,3.1789266827786378e-06,0.0
mixed,mixed_q_2_8_gamma_0_5,Lag_5,0,0.03757248594489768,0.0008023015967949602,0.0,2.7823308457186613e-07,2.5431512202800377e-06,0.0
mixed,mixed_q_2_8_gamma_0_5,Lag_6,0,0.02669435682488613,0.0010521989530792185,0.0,1.5906275052657293e-07,2.543170470955166e-06,0.0
mixed,mixed_q_2_8_gamma_0_5,Lag_7,0,0.013051355086521865,0.001034523419087913,0.0,1.9868563623977784e-06,1.6292012083122624e-06,0.0
mixed,mixed_q_2_8_gamma_0_5,Lag_8,0,0.0246808673867982,0.000549304223903219,0.0,1.9873111748817487e-07,1.281509679929016e-06,0.0
mixed,mixed_q_2_8_gamma_0_5,Lag_9,0,0.006631993659495953,0.00026784322895006906,0.0,9.95601297700451e-09,6.35785312693334e-07,0.0
